understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
637702,28781,468,Callum Wilson,86,0.8869999694824219,0.5640000152587891,0.02430039644241333,MissedShots,Head,SetPiece,a,2025
637703,28781,6098,Niclas Füllkrug,89,0.8809999847412109,0.5279999923706055,0.04106655716896057,SavedShot,Head,OpenPlay,a,2025
637705,28781,1776,Jarrod Bowen,95,0.7919999694824219,0.515,0.0328790582716465,BlockedShot,LeftFoot,SetPiece,a,2025
637706,28782,12912,Lucas Bergvall,0,0.9769999694824218,0.41200000762939454,0.09277527779340744,SavedShot,RightFoot,OpenPlay,h,2025
637707,28782,10760,Brennan Johnson,0,0.8109999847412109,0.4829999923706055,0.036160849034786224,MissedShots,RightFoot,FromCorner,h,2025
637708,28782,6026,Richarlison,9,0.874000015258789,0.46,0.07443246245384216,Goal,RightFoot,OpenPlay,h,2025
637709,28782,6026,Richarlison,11,0.9259999847412109,0.5220000076293946,0.08871733397245407,MissedShots,Head,OpenPlay,h,2025
637719,28782,10764,Djed Spence,39,0.774000015258789,0.6170000076293946,0.03260151296854019,MissedShots,RightFoot,OpenPlay,h,2025
637721,28782,10050,Micky van de Ven,48,0.9740000152587891,0.485,0.14553724229335785,MissedShots,Head,FromCorner,h,2025
637722,28782,6026,Richarlison,51,0.885,0.5879999923706055,0.08876293897628784,BlockedShot,RightFoot,OpenPlay,h,2025
637723,28782,6026,Richarlison,51,0.965,0.5770000076293945,0.49988359212875366,SavedShot,LeftFoot,OpenPlay,h,2025
637724,28782,12027,Mohammed Kudus,51,0.9169999694824219,0.22700000762939454,0.029406428337097168,MissedShots,LeftFoot,OpenPlay,h,2025
637727,28782,6026,Richarlison,59,0.8859999847412109,0.5429999923706055,0.09355449676513672,Goal,RightFoot,OpenPlay,h,2025
637728,28782,6912,Pedro Porro,63,0.7669999694824219,0.3220000076293945,0.025929126888513565,MissedShots,RightFoot,OpenPlay,h,2025
637729,28782,10760,Brennan Johnson,65,0.914000015258789,0.5790000152587891,0.5134420394897461,Goal,RightFoot,OpenPlay,h,2025
