whoscored_player_id,name,player_name,whoscored_team_id,team_name,position,shirt_no,competition,season,source
113994,Leandro Trossard,Leandro Trossard,13,Arsenal,Sub,19,Premier League,2025/26,whoscored
113880,Kepa Arrizabalaga,Kepa Arrizabalaga,13,Arsenal,Sub,13,Premier League,2025/26,whoscored
425591,Cristhian Mosquera,Cristhian Mosquera,13,Arsenal,Sub,3,Premier League,2025/26,whoscored
456771,Ethan Nwaneri,Ethan Nwaneri,13,Arsenal,Sub,22,Premier League,2025/26,whoscored
307564,Lucas Perri,Lucas Perri,19,Leeds,GK,1,Premier League,2025/26,whoscored
354291,Jayden Bogle,Jayden Bogle,19,Leeds,DR,2,Premier League,2025/26,whoscored
355609,Pascal Struijk,Pascal Struijk,19,Leeds,DC,5,Premier League,2025/26,whoscored
302312,Joe Rodon,Joe Rodon,19,Leeds,DC,6,Premier League,2025/26,whoscored
330549,Gabriel Gudmundsson,Gabriel Gudmundsson,19,Leeds,DL,3,Premier League,2025/26,whoscored
401073,Anton Stach,Anton Stach,19,Leeds,MC,18,Premier League,2025/26,whoscored
423347,Ao Tanaka,Ao Tanaka,19,Leeds,MC,22,Premier League,2025/26,whoscored
322418,Ethan Ampadu,Ethan Ampadu,19,Leeds,MC,4,Premier League,2025/26,whoscored
302313,Daniel James,Daniel James,19,Leeds,FWR,7,Premier League,2025/26,whoscored
369542,Joël Piroe,Joël Piroe,19,Leeds,FW,10,Premier League,2025/26,whoscored
439636,Wilfried Gnonto,Wilfried Gnonto,19,Leeds,FWL,29,Premier League,2025/26,whoscored
382590,Ilia Gruev,Ilia Gruev,19,Leeds,Sub,44,Premier League,2025/26,whoscored
347340,Lukas Nmecha,Lukas Nmecha,19,Leeds,Sub,14,Premier League,2025/26,whoscored
371012,Brenden Aaronson,Brenden Aaronson,19,Leeds,Sub,11,Premier League,2025/26,whoscored
342811,Sean Longstaff,Sean Longstaff,19,Leeds,Sub,8,Premier League,2025/26,whoscored
317896,Jack Harrison,Jack Harrison,19,Leeds,Sub,20,Premier League,2025/26,whoscored
364235,Sebastiaan Bornauw,Sebastiaan Bornauw,19,Leeds,Sub,23,Premier League,2025/26,whoscored
388665,Largie Ramazani,Largie Ramazani,19,Leeds,Sub,17,Premier League,2025/26,whoscored
70483,Karl Darlow,Karl Darlow,19,Leeds,Sub,26,Premier League,2025/26,whoscored
118303,Sam Byram,Sam Byram,19,Leeds,Sub,25,Premier League,2025/26,whoscored
110189,Jordan Pickford,Jordan Pickford,31,Everton,GK,1,Premier League,2025/26,whoscored
424495,Jake O'Brien,Jake O'Brien,31,Everton,DR,15,Premier League,2025/26,whoscored
107941,Michael Keane,Michael Keane,31,Everton,DC,5,Premier League,2025/26,whoscored
131464,James Tarkowski,James Tarkowski,31,Everton,DC,6,Premier League,2025/26,whoscored
367781,James Garner,James Garner,31,Everton,DL,37,Premier League,2025/26,whoscored
80464,Idrissa Gueye,Idrissa Gueye,31,Everton,DMC,27,Premier League,2025/26,whoscored
416208,Tim Iroegbunam,Tim Iroegbunam,31,Everton,DMC,42,Premier League,2025/26,whoscored
391348,Charly Alcaraz,Charly Alcaraz,31,Everton,AMR,24,Premier League,2025/26,whoscored
391256,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,31,Everton,AMC,22,Premier League,2025/26,whoscored
366116,Iliman Ndiaye,Iliman Ndiaye,31,Everton,AML,10,Premier League,2025/26,whoscored
380546,Beto,Beto,31,Everton,FW,9,Premier League,2025/26,whoscored
537713,Thierno Barry,Thierno Barry,31,Everton,Sub,11,Premier League,2025/26,whoscored
113069,Jack Grealish,Jack Grealish,31,Everton,Sub,18,Premier League,2025/26,whoscored
31826,Séamus Coleman,Séamus Coleman,31,Everton,Sub,23,Premier League,2025/26,whoscored
362806,Mark Travers,Mark Travers,31,Everton,Sub,12,Premier League,2025/26,whoscored
447229,Youssef Chermiti,Youssef Chermiti,31,Everton,Sub,17,Premier League,2025/26,whoscored
357427,Dwight McNeil,Dwight McNeil,31,Everton,Sub,7,Premier League,2025/26,whoscored
535879,Harrison Armstrong,Harrison Armstrong,31,Everton,Sub,45,Premier League,2025/26,whoscored
409497,Tyler Onyango,Tyler Onyango,31,Everton,Sub,62,Premier League,2025/26,whoscored
410179,Harry Tyrer,Harry Tyrer,31,Everton,Sub,53,Premier League,2025/26,whoscored
389409,Amine Adli,Amine Adli,183,Bournemouth,Sub,17,Premier League,2025/26,whoscored
331579,Justin Kluivert,Justin Kluivert,183,Bournemouth,Sub,19,Premier League,2025/26,whoscored
128882,Ryan Christie,Ryan Christie,183,Bournemouth,Sub,10,Premier League,2025/26,whoscored
430350,Ben Gannon-Doak,Ben Gannon-Doak,183,Bournemouth,Sub,11,Premier League,2025/26,whoscored
408580,Jackson Tchatchoua,Jackson Tchatchoua,161,Wolves,Sub,38,Premier League,2025/26,whoscored
571994,Max Dowman,Max Dowman,13,Arsenal,Sub,56,Premier League,2025/26,whoscored
424462,Jakub Kiwior,Jakub Kiwior,13,Arsenal,Sub,15,Premier League,2025/26,whoscored
376090,Noah Okafor,Noah Okafor,19,Leeds,Sub,19,Premier League,2025/26,whoscored
360941,Jaka Bijol,Jaka Bijol,19,Leeds,Sub,15,Premier League,2025/26,whoscored
422183,Dango Ouattara,Dango Ouattara,189,Brentford,AMR,19,Premier League,2025/26,whoscored
401168,Mikkel Damsgaard,Mikkel Damsgaard,189,Brentford,AMC,24,Premier League,2025/26,whoscored
102248,Emiliano Martínez,Emiliano Martínez,24,Aston Villa,GK,23,Premier League,2025/26,whoscored
540464,Triston Rowe,Triston Rowe,24,Aston Villa,Sub,45,Premier League,2025/26,whoscored
550064,Bradley Burrowes,Bradley Burrowes,24,Aston Villa,Sub,83,Premier League,2025/26,whoscored
512312,Sam Proctor,Sam Proctor,24,Aston Villa,Sub,52,Premier League,2025/26,whoscored
122980,Arthur Masuaku,Arthur Masuaku,16,Sunderland,Sub,26,Premier League,2025/26,whoscored
229492,Remi Matthews,Remi Matthews,162,Crystal Palace,Sub,31,Premier League,2025/26,whoscored
454759,Kaden Rodney,Kaden Rodney,162,Crystal Palace,Sub,42,Premier League,2025/26,whoscored
384005,Arnaud Kalimuendo,Arnaud Kalimuendo,174,Nottingham Forest,Sub,15,Premier League,2025/26,whoscored
425576,James McAtee,James McAtee,174,Nottingham Forest,Sub,24,Premier League,2025/26,whoscored
430908,Omari Hutchinson,Omari Hutchinson,174,Nottingham Forest,Sub,21,Premier League,2025/26,whoscored
337883,Douglas Luiz,Douglas Luiz,174,Nottingham Forest,Sub,12,Premier League,2025/26,whoscored
512227,Elijah Campbell,Elijah Campbell,31,Everton,Sub,73,Premier League,2025/26,whoscored
469629,Jack Hinshelwood,Jack Hinshelwood,211,Brighton,Sub,13,Premier League,2025/26,whoscored
322611,Ryan Sessegnon,Ryan Sessegnon,170,Fulham,DL,30,Premier League,2025/26,whoscored
306581,Antonee Robinson,Antonee Robinson,170,Fulham,Sub,33,Premier League,2025/26,whoscored
260843,André Onana,André Onana,32,Man Utd,Sub,24,Premier League,2025/26,whoscored
303139,Rodri,Rodri,167,Man City,Sub,16,Premier League,2025/26,whoscored
331254,Phil Foden,Phil Foden,167,Man City,Sub,47,Premier League,2025/26,whoscored
121774,Ederson,Ederson,167,Man City,Sub,31,Premier League,2025/26,whoscored
