understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
29162,2551,Valencia,Pepelu,63,82.95,27.54,0.0381,Blocked,Right Foot,Open Play,h,CornerAwarded,Javier Guerra,2025,understat
29162,6637,Valencia,Hugo Duro,63,92.5,33.52,0.0955,Blocked,Left Foot,Open Play,h,BallTouch,Pepelu,2025,understat
29162,10982,Valencia,Copete,71,100.9,34.27,0.4882,Off T,Left Foot,From Corner,h,Cross,Javier Guerra,2025,understat
29162,10982,Valencia,Copete,75,95.55,30.53,0.0756,Off T,Head,From Corner,h,Cross,Pepelu,2025,understat
29162,10322,Valencia,Javier Guerra,75,89.88,47.19,0.032,Saved,Right Foot,From Corner,h,Pass,Luis Rioja,2025,understat
29162,8066,Valencia,Arnaut Danjuma Groeneveld,86,89.88,46.1,0.0429,Blocked,Right Foot,Open Play,h,TakeOn,Jesús Vázquez,2025,understat
29162,5654,Valencia,Baptiste Santamaria,87,73.08,44.95,0.0114,Off T,Right Foot,Open Play,h,BallRecovery,,2025,understat
29162,7870,Valencia,Luis Rioja,91,102.9,22.71,0.0887,Blocked,Left Foot,Open Play,h,TakeOn,,2025,understat
29162,6227,Real Sociedad,Brais Méndez,11,79.28,35.63,0.0252,Saved,Left Foot,Open Play,a,Pass,Ander Barrenetxea,2025,understat
29162,9465,Real Sociedad,Beñat Turrientes,14,75.6,34.41,0.0147,Off T,Right Foot,From Corner,a,None,,2025,understat
29162,7308,Real Sociedad,Ander Barrenetxea,24,88.62,39.78,0.0747,Off T,Right Foot,Open Play,a,Pass,Takefusa Kubo,2025,understat
29162,6227,Real Sociedad,Brais Méndez,34,75.92,40.87,0.017,Off T,Left Foot,Open Play,a,Pass,Pablo Marín,2025,understat
29162,8001,Real Sociedad,Takefusa Kubo,49,84.63,33.18,0.1452,Off T,Left Foot,Direct Freekick,a,Standard,,2025,understat
29162,7308,Real Sociedad,Ander Barrenetxea,58,95.02,45.08,0.0566,Off T,Right Foot,Open Play,a,BallTouch,Duje Caleta-Car,2025,understat
29162,8001,Real Sociedad,Takefusa Kubo,59,85.26,33.73,0.0562,Goal,Left Foot,Open Play,a,Pass,Brais Méndez,2025,understat
