whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1911533,Stade Louis-II,Sébastien Pocognoli,Habib Beye,0 : 0,2 : 1,10495.0,961,Clément Turpin,2026-04-05T20:45:00
1911534,Parc des Princes,Luis Enrique Martínez García,Carles Martínez,2 : 1,3 : 1,47710.0,909,Eric Wattellier,2026-04-03T20:45:00
1911535,Stade de la Meinau,Gary O'Neil,Claude Puel,3 : 0,3 : 1,29000.0,4,Thomas Leonard,2026-04-04T17:00:00
1911536,Stade de l'Abbé-Deschamps,Christophe Pélissier,Vahid Halilhodzic,0 : 0,0 : 0,17041.0,960,Willy Delajod,2026-04-11T19:00:00
1911537,Stade Francis-Le Blé,Éric Roy,Gary O'Neil,1 : 2,1 : 2,14539.0,899,Benoît Millot,2026-05-13T19:00:00
1911538,Stade Félix Bollaert-Delélis,Pierre Sage,Luis Enrique Martínez García,0 : 1,0 : 2,38139.0,861,Benoît Bastien,2026-05-13T21:00:00
1911539,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Olivier Pantaloni,0 : 0,2 : 0,43551.0,861,Benoît Bastien,2026-04-12T20:45:00
1911540,Orange Vélodrome,Habib Beye,Benoit Tavenot,1 : 0,3 : 1,63923.0,1076,Stéphanie Frappart,2026-04-10T21:05:00
1911541,Allianz Riviera,Claude Puel,Didier Digard,0 : 1,1 : 1,19772.0,860,Abdelatif Kherradji,2026-04-12T17:15:00
1911542,Stade Jean Bouin,Antoine Kombouaré,Sébastien Pocognoli,3 : 1,4 : 1,16520.0,909,Eric Wattellier,2026-04-10T19:00:00
1911543,Roazhon Park,Franck Haise,Alexandre Dujeux,2 : 0,2 : 1,26749.0,2853,Mathieu Vernice,2026-04-11T21:05:00
1911544,Stadium de Toulouse,Carles Martínez,Bruno Génésio,0 : 1,0 : 4,24568.0,862,Hakim Ben El Hadj,2026-04-12T17:15:00
1911545,Stade Raymond Kopa,Alexandre Dujeux,Didier Digard,1 : 1,1 : 1,12660.0,4272,Marc Bollengier,2026-04-18T19:00:00
1911546,Stade Félix Bollaert-Delélis,Pierre Sage,Carles Martínez,0 : 2,3 : 2,37351.0,2884,Jeremie Pignard,2026-04-17T20:45:00
1911547,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Claude Puel,0 : 0,0 : 0,40159.0,1195,Bastien Dechepy,2026-04-18T21:05:00
1911548,Stade du Moustoir - Yves Allainmat,Olivier Pantaloni,Habib Beye,1 : 0,2 : 0,16585.0,909,Eric Wattellier,2026-04-18T17:00:00
1911549,Stade Saint-Symphorien,Benoit Tavenot,Antoine Kombouaré,1 : 1,1 : 3,19409.0,969,Jeremy Stinat,2026-04-19T17:15:00
1911550,Stade Louis-II,Sébastien Pocognoli,Christophe Pélissier,0 : 2,2 : 2,8473.0,4,Thomas Leonard,2026-04-19T15:00:00
1911551,La Beaujoire-Louis-Fonteneau,Vahid Halilhodzic,Éric Roy,1 : 0,1 : 1,24899.0,1998,Guillaume Paradis,2026-04-19T17:15:00
1911552,Parc des Princes,Luis Enrique Martínez García,Paulo Alexandre Rodrigues Fonseca,0 : 2,1 : 2,47926.0,867,Jerome Brisard,2026-04-19T20:45:00
1911553,Stade de la Meinau,Gary O'Neil,Franck Haise,0 : 1,0 : 3,29000.0,885,Ruddy Buquet,2026-04-19T17:15:00
