understat_player_id,player_name,team_name,competition,season,source
7515,Andrei Ratiu,Rayo Vallecano,La Liga,2025_2026,understat
7528,Sergio Camello,Rayo Vallecano,La Liga,2025_2026,understat
7529,Iván Martín,Girona,La Liga,2025_2026,understat
770,Ayoze Pérez,Villarreal,La Liga,2025_2026,understat
7810,Ruben Vargas,Sevilla,La Liga,2025_2026,understat
7838,Martin Valjent,Mallorca,La Liga,2025_2026,understat
7857,Jon Moncayola,Osasuna,La Liga,2025_2026,understat
7860,Domingos Duarte,Getafe,La Liga,2025_2026,understat
7870,Luis Rioja,Valencia,La Liga,2025_2026,understat
7888,Nemanja Gudelj,Sevilla,La Liga,2025_2026,understat
7927,Sofyan Amrabat,Real Betis,La Liga,2025_2026,understat
8001,Takefusa Kubo,Real Sociedad,La Liga,2025_2026,understat
8014,Abdón Prats,Mallorca,La Liga,2025_2026,understat
8026,Raphinha,Barcelona,La Liga,2025_2026,understat
8042,Raul García,Osasuna,La Liga,2025_2026,understat
8045,Eric Garcia,Barcelona,La Liga,2025_2026,understat
8091,Ronald Araújo,Barcelona,La Liga,2025_2026,understat
8107,Jorge De Frutos,Rayo Vallecano,La Liga,2025_2026,understat
8122,Sergio Carreira,Celta Vigo,La Liga,2025_2026,understat
8187,Georges Mikautadze,Villarreal,La Liga,2025_2026,understat
8230,German Valera,Elche,La Liga,2025_2026,understat
8267,Guido Rodríguez,Valencia,La Liga,2025_2026,understat
8292,Dani Olmo,Barcelona,La Liga,2025_2026,understat
8328,Azz-Eddine Ounahi,Girona,La Liga,2025_2026,understat
8417,Álex Baena,Atletico Madrid,La Liga,2025_2026,understat
8694,Chidera Ejuke,Sevilla,La Liga,2025_2026,understat
8696,Pape Alassane Gueye,Villarreal,La Liga,2025_2026,understat
8725,Luis Milla,Getafe,La Liga,2025_2026,understat
8733,Alfonso Espino,Rayo Vallecano,La Liga,2025_2026,understat
8765,Roberto Navarro,Athletic Club,La Liga,2025_2026,understat
8824,Jude Bellingham,Real Madrid,La Liga,2025_2026,understat
8861,Urko Gonzalez,Espanyol,La Liga,2025_2026,understat
8895,Tete Morente,Elche,La Liga,2025_2026,understat
8972,Victor Chust,Elche,La Liga,2025_2026,understat
9001,Martín Satriano,Getafe,La Liga,2025_2026,understat
9002,Vedat Muriqi,Mallorca,La Liga,2025_2026,understat
9218,Juan Iglesias,Getafe,La Liga,2025_2026,understat
9243,Ilaix Moriba,Celta Vigo,La Liga,2025_2026,understat
9275,Iván Romero,Levante,La Liga,2025_2026,understat
9280,Antonio Blanco,Alaves,La Liga,2025_2026,understat
9465,Beñat Turrientes,Real Sociedad,La Liga,2025_2026,understat
9466,Jon Ander Olasagasti,Levante,La Liga,2025_2026,understat
9694,Diego López,Valencia,La Liga,2025_2026,understat
9796,Giuliano Simeone,Atletico Madrid,La Liga,2025_2026,understat
9805,Álex Balde,Barcelona,La Liga,2025_2026,understat
9813,Randy Nteka,Rayo Vallecano,La Liga,2025_2026,understat
9815,Pathé Ciss,Rayo Vallecano,La Liga,2025_2026,understat
9825,Nicolás Serrano,Athletic Club,La Liga,2025_2026,understat
