id_sofascore,id_understat,id_whoscored,attendance,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code
8896950,14104,1485443,,15.8,89,0.0,5.9,2
8953927,,1490870,,19.9,94,0.0,19.6,3
8896925,14105,1485441,,15.8,89,0.0,5.9,2
9008464,,,,13.8,46,0.0,10.2,0
9008749,,,,17.4,74,0.0,10.7,0
9006591,,,,17.4,52,0.0,15.4,0
9008475,,,,4.2,90,0.0,9.1,51
9008461,,,,22.6,77,0.3,10.8,53
9006814,,,,16.3,88,53.3,26.6,63
9015286,,,,12.7,82,3.8,21.0,63
9015343,,,,16.6,90,0.3,9.3,53
9015300,,,,13.9,78,0.0,10.9,2
9015216,,,,22.1,82,0.0,18.3,2
9015340,,,,17.4,81,0.0,18.6,2
9015279,,,,13.7,86,7.5,19.2,63
9015301,,,,19.3,53,0.0,14.2,51
9015225,,,,23.9,58,0.3,13.0,53
8970153,,,,14.4,78,0.0,9.4,51
9015295,,,,15.0,99,3.8,6.8,63
9015342,,,,20.3,61,0.0,13.5,0
9015356,,,,14.7,87,0.0,9.8,51
9015352,,,,21.2,62,0.0,8.1,0
9015290,,,,14.2,80,0.0,12.0,2
9015224,,,,13.7,56,0.1,10.8,51
9015336,,,,23.9,58,0.3,13.0,53
8953956,,1490897,,9.1,85,0.0,5.2,2
8805143,,1469777,,10.1,92,0.8,18.6,53
8833463,14182,1481008,,10.7,79,0.0,6.4,2
8833450,14183,1481010,,8.9,91,41.9,15.9,63
8805149,,1469783,,14.1,89,16.6,40.5,63
8970351,14124,1495376,,19.8,66,0.0,42.9,51
8953858,,1490883,,17.2,87,0.2,26.6,51
8896983,14108,1485212,,7.7,85,0.0,22.0,2
8738569,14215,1463969,,4.3,79,0.0,7.1,51
8833452,14188,1481009,,10.6,96,93.4,21.1,63
8953816,,1490896,,21.9,77,0.7,23.2,53
8896929,14106,1485490,,10.3,83,0.1,34.9,51
8833461,14187,1481005,,9.4,94,84.7,17.0,63
8833458,14186,1481004,,10.0,93,68.6,15.2,63
8738565,14216,1463965,,8.9,66,0.1,20.0,51
8953795,,1490886,,17.0,95,12.9,17.1,63
8966332,14154,,,14.0,96,94.8,27.0,63
8966267,14163,1492175,,17.6,54,0.0,16.5,0
