whoscored_player_id,name,whoscored_team_id,position,shirt_no,season,source,competition
362421,Fran Beltrán,62,Sub,8,2025/26,whoscored,La Liga
396158,Ferran Jutglà,62,Sub,9,2025/26,whoscored,La Liga
438846,Damián Rodríguez,62,Sub,14,2025/26,whoscored,La Liga
441888,Jones El Abdellaoui,62,Sub,39,2025/26,whoscored,La Liga
400826,Luiz Júnior,839,GK,1,2025/26,whoscored,La Liga
448936,Santiago Mouriño,839,DR,15,2025/26,whoscored,La Liga
335107,Juan Foyth,839,DC,8,2025/26,whoscored,La Liga
430301,Rafa Marín,839,DC,4,2025/26,whoscored,La Liga
448209,Sergi Cardona,839,DL,23,2025/26,whoscored,La Liga
371027,Tajon Buchanan,839,MR,17,2025/26,whoscored,La Liga
399047,Pape Gueye,839,MC,18,2025/26,whoscored,La Liga
362735,Santi Comesaña,839,MC,14,2025/26,whoscored,La Liga
448211,Alberto Moleiro,839,ML,20,2025/26,whoscored,La Liga
445095,Karl Etta Eyong,839,FW,29,2025/26,whoscored,La Liga
239872,Nicolas Pépé,839,FW,19,2025/26,whoscored,La Liga
238940,Thomas Partey,839,Sub,16,2025/26,whoscored,La Liga
445292,Tani Oluwaseyi,839,Sub,21,2025/26,whoscored,La Liga
434077,Renato Veiga,839,Sub,12,2025/26,whoscored,La Liga
428500,Ilias Akhomach,839,Sub,11,2025/26,whoscored,La Liga
28186,Dani Parejo,839,Sub,10,2025/26,whoscored,La Liga
448041,Adrià Alti,839,Sub,3,2025/26,whoscored,La Liga
422660,Diego Conde,839,Sub,13,2025/26,whoscored,La Liga
276489,Alfonso Pedraza,839,Sub,24,2025/26,whoscored,La Liga
537235,Pau Navarro,839,Sub,26,2025/26,whoscored,La Liga
582063,Hugo Lopez,839,Sub,32,2025/26,whoscored,La Liga
396147,Arnau Tenas,839,Sub,25,2025/26,whoscored,La Liga
411636,Pablo Campos,832,GK,1,2025/26,whoscored,La Liga
129620,Jeremy Toljan,832,DR,22,2025/26,whoscored,La Liga
299752,Unai Elgezabal,832,DC,5,2025/26,whoscored,La Liga
383780,Adrián de la Fuente,832,DC,4,2025/26,whoscored,La Liga
518057,Jorge Cabello,832,DC,14,2025/26,whoscored,La Liga
374813,Manu Sánchez,832,DL,23,2025/26,whoscored,La Liga
448231,Roger Brugué,832,MR,7,2025/26,whoscored,La Liga
362623,Oriol Rey,832,MC,20,2025/26,whoscored,La Liga
388808,Pablo Martínez,832,MC,10,2025/26,whoscored,La Liga
135321,José Luis Morales,832,ML,11,2025/26,whoscored,La Liga
407567,Iván Romero,832,FW,9,2025/26,whoscored,La Liga
345366,Diego Pampín,832,Sub,6,2025/26,whoscored,La Liga
395708,Víctor García,832,Sub,17,2025/26,whoscored,La Liga
406937,Carlos Álvarez,832,Sub,24,2025/26,whoscored,La Liga
516341,Carlos Espí,832,Sub,19,2025/26,whoscored,La Liga
482951,Matías Moreno,832,Sub,2,2025/26,whoscored,La Liga
349661,Sergio Lozano,832,Sub,21,2025/26,whoscored,La Liga
438519,Álex Primo,832,Sub,32,2025/26,whoscored,La Liga
541854,Paco Cortés,832,Sub,27,2025/26,whoscored,La Liga
578266,Nacho Pérez,832,Sub,29,2025/26,whoscored,La Liga
422824,Joan García,65,GK,13,2025/26,whoscored,La Liga
368091,Eric García,65,DR,24,2025/26,whoscored,La Liga
498386,Pau Cubarsí,65,DC,5,2025/26,whoscored,La Liga
384711,Ronald Araujo,65,DC,4,2025/26,whoscored,La Liga
422938,Alejandro Balde,65,DL,3,2025/26,whoscored,La Liga
402197,Pedri,65,DMC,8,2025/26,whoscored,La Liga
454343,Marc Casadó,65,DMC,17,2025/26,whoscored,La Liga
480249,Lamine Yamal,65,AMR,10,2025/26,whoscored,La Liga
300447,Raphinha,65,AMC,11,2025/26,whoscored,La Liga
300299,Marcus Rashford,65,AML,14,2025/26,whoscored,La Liga
