whoscored_match_id,season,match_date,attendance,competition
1914072,2025/26,2026-02-01,57523,La Liga
1914073,2025/26,2026-01-18,61192,La Liga
1914074,2025/26,2026-02-02,15621,La Liga
1914075,2025/26,2026-01-17,14284,La Liga
1914076,2025/26,2026-01-31,20455,La Liga
1914077,2025/26,2026-01-18,36346,La Liga
1914078,2025/26,2026-01-30,25881,La Liga
1914079,2025/26,2026-01-17,70104,La Liga
1914080,2025/26,2026-01-24,34642,La Liga
1914081,2025/26,2026-01-31,20573,La Liga
1914082,2025/26,2026-01-25,14810,La Liga
1914083,2025/26,2026-01-31,31233,La Liga
1914084,2025/26,2026-01-25,55028,La Liga
1914085,2025/26,2026-02-01,7363,La Liga
1914086,2025/26,2026-01-25,44763,La Liga
1914087,2025/26,2026-02-08,30384,La Liga
1914088,2025/26,2026-01-25,29682,La Liga
1914089,2025/26,2026-02-08,47515,La Liga
1914090,2025/26,2026-01-31,20085,La Liga
1914091,2025/26,2026-01-23,18973,La Liga
1914092,2025/26,2026-03-04,11886,La Liga
1914093,2025/26,2026-01-24,44162,La Liga
1914094,2025/26,2026-02-13,21253,La Liga
1914095,2025/26,2026-01-26,11388,La Liga
1914096,2025/26,2026-02-14,7551,La Liga
1914097,2025/26,2026-01-24,12091,La Liga
1914098,2025/26,2026-02-15,22967,La Liga
1914099,2025/26,2026-01-24,20432,La Liga
1914100,2025/26,2026-02-14,74176,La Liga
1914101,2025/26,2026-02-14,32846,La Liga
1914102,2025/26,2026-02-15,25255,La Liga
1914103,2025/26,2026-02-15,5335,La Liga
1914104,2025/26,2026-02-01,48020,La Liga
1914105,2025/26,2026-02-16,14043,La Liga
1914106,2025/26,2026-02-15,18658,La Liga
1914107,2025/26,2026-02-14,27368,La Liga
1914108,2025/26,2026-02-23,14117,La Liga
1914109,2025/26,2026-02-20,46654,La Liga
1914110,2025/26,2026-03-09,24807,La Liga
1914111,2025/26,2026-03-08,41512,La Liga
1914112,2025/26,2026-03-08,8757,La Liga
1914113,2025/26,2026-03-08,16301,La Liga
1914114,2025/26,2026-02-21,56412,La Liga
1914115,2025/26,2026-03-07,18552,La Liga
1914116,2025/26,2026-03-07,19746,La Liga
1914117,2025/26,2026-03-08,37178,La Liga
1914118,2025/26,2026-03-13,16215,La Liga
1914119,2025/26,2026-03-14,58893,La Liga
1914120,2025/26,2026-03-15,56483,La Liga
1914121,2025/26,2026-03-15,58689,La Liga
1914122,2025/26,2026-03-14,22826,La Liga
1914123,2025/26,2026-02-22,44936,La Liga
1914124,2025/26,2026-03-14,8811,La Liga
1914125,2025/26,2026-03-14,71048,La Liga
1914126,2025/26,2026-03-15,17879,La Liga
1914127,2025/26,2026-03-16,10975,La Liga
1914128,2025/26,2026-03-15,30856,La Liga
1914129,2025/26,2026-02-21,59436,La Liga
1914130,2025/26,2026-02-22,19689,La Liga
1914131,2025/26,2026-02-22,8814,La Liga
1914132,2025/26,2026-02-21,22480,La Liga
1914133,2025/26,2026-02-22,19233,La Liga
1914134,2025/26,2026-02-21,30917,La Liga
1914135,2025/26,2026-02-28,44256,La Liga
1914136,2025/26,2026-03-01,67447,La Liga
1914137,2025/26,2026-03-01,25028,La Liga
1914138,2025/26,2026-02-28,17120,La Liga
1914139,2025/26,2026-02-27,17880,La Liga
1914140,2025/26,2026-02-28,13512,La Liga
1914141,2025/26,2026-02-28,27067,La Liga
1914142,2025/26,2026-03-01,11371,La Liga
