id_sofascore,canonical_name
1402716.0,Gonzalo García
1402908.0,Hector Fort
1402912.0,Lamine Yamal
1402913.0,Pau Cubarsí
1402990.0,Julio Díaz
1403364.0,Youssef Enriquez
1403559.0,Franco Mastantuono
1425060.0,Eder Garcia
1428699.0,Andres Castrin
1430667.0,Urko Izeta
1430809.0,Diego Morcillo
1458073.0,Nobel Mendy
1466116.0,Jon Martin
1468046.0,Santiago Mouriño
1468090.0,Alfon González
1482424.0,Claudio Echeverri
1482463.0,Juan Arango
1484974.0,Justin-Noel Kalumba
1485300.0,Vitor Reis
1491660.0,José Luis Pérez
1495844.0,Mikel Jauregizar
1495856.0,Iñigo Arguibide
1496360.0,Matias Moreno
1513222.0,Ángel Pérez
1513896.0,David López
1515554.0,Adrian Liso
1516812.0,Ali Houary
1518564.0,Miguel Sierra
1518971.0,Adam Boayar
1520799.0,Maroan Sannadi
1520814.0,Alejandro Mestanza
1525863.0,Pau Navarro
1526618.0,Marc Bernal
1526627.0,Javi Rodríguez
1526628.0,Fer López
1534422.0,Oso
1535581.0,Lander Astiazaran
1542721.0,Buba Sangare
1544428.0,Iker Luque
1546073.0,Xavi Espart
1550822.0,Asier Hierro
1563578.0,Taufik Seidu
1587199.0,Pablo Agudín
1630975.0,Manu Fernández
1632454.0,Hugo Rincón
1639543.0,Aitor Mañas
1649918.0,Carlos Espí
1649919.0,Kareem Tunde
1807070.0,Jorge Cabello
1832076.0,Javi Morcillo
1832286.0,Jano Monserrate
1860172.0,Lass Kourouma
1869106.0,Paco Cortés
1884145.0,Christantus Uche
1893910.0,Pablo García
1895964.0,Ismael Bekhoucha
1914318.0,Marc Domenech
1916256.0,Andrés Antañón
1918369.0,Davinchi
1939173.0,Jan Virgili
1953923.0,Selton Sanchez
1985103.0,Gorka Carrera Zarranz
2049311.0,Nacho Pérez
2110897.0,Alejandro Rego Mora
2237795.0,Thiago Pitarch
2238900.0,Carlos Maciá
2238907.0,Miguel Cubo
2267149.0,Miguel Cubo
2269442.0,Luis Orejuela
2588613.0,Miguel Calatayud
