whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1972364,Athens Olympic Stadium,Rafael Benítez,Manuel Pellegrini,0 : 0,1 : 0,27479,1163,Szymon Marciniak,2026-03-12T18:45:00
1972365,Estadio Abanca-Balaídos,Claudio Giráldez,Paulo Alexandre Rodrigues Fonseca,1 : 0,1 : 1,21673,4140,Erik Lambrechts,2026-03-12T21:00:00
1972366,The City Ground,Vítor Manuel de Oliveira Lopes Pereira,Mike Tullberg,0 : 0,0 : 1,29502,3246,Rade Obrenovic,2026-03-12T21:00:00
1972367,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Unai Emery,0 : 0,0 : 1,40187,233,José María Sánchez Martínez,2026-03-12T18:45:00
1972368,Estádio Municipal de Braga,Carlos Vicens,Robbie Keane,3 : 0,4 : 0,15078,2106,Glenn Nyberg,2026-03-18T16:30:00
1972369,Europa-Park Stadion,Julian Schuster,Nicky Hayen,2 : 1,5 : 1,33000,89,Michael Oliver,2026-03-19T18:45:00
1972370,Estádio do Dragão,Francesco Farioli,Sebastian Hoeneß,1 : 0,2 : 0,40675,99,Anthony Taylor,2026-03-19T21:00:00
1972371,Stadio Olimpico,Gian Piero Gasperini,Vincenzo Italiano,1 : 2,3 : 3,63908,1359,István Kovács,2026-03-19T21:00:00
1972372,Estadio La Cartuja de Sevilla,Manuel Pellegrini,Rafael Benítez,2 : 0,4 : 0,60207,1396,Tobias Stieler,2026-03-19T21:00:00
1972373,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Claudio Giráldez,0 : 0,0 : 2,41764,3353,Irfan Peljto,2026-03-19T18:45:00
1972374,MCH Arena,Mike Tullberg,Vítor Manuel de Oliveira Lopes Pereira,0 : 1,1 : 2,10554,1128,Felix Zwayer,2026-03-19T18:45:00
1972375,Villa Park,Unai Emery,Bruno Génésio,0 : 0,2 : 0,37583,366,Davide Massa,2026-03-19T21:00:00
1974996,Europa-Park Stadion,Julian Schuster,Claudio Giráldez,2 : 0,3 : 0,32600,2106,Glenn Nyberg,2026-04-09T21:00:00
1974997,Estadio Abanca-Balaídos,Claudio Giráldez,Julian Schuster,0 : 2,1 : 3,21981,99,Anthony Taylor,2026-04-16T18:45:00
1975000,Estádio do Dragão,Francesco Farioli,Vítor Manuel de Oliveira Lopes Pereira,1 : 1,1 : 1,46479,339,Marco Guida,2026-04-09T21:00:00
1975001,The City Ground,Vítor Manuel de Oliveira Lopes Pereira,Francesco Farioli,1 : 0,1 : 0,29560,739,Danny Makkelie,2026-04-16T21:00:00
1975002,Estádio Municipal de Braga,Carlos Vicens,Manuel Pellegrini,1 : 0,1 : 1,20847,1128,Felix Zwayer,2026-04-08T18:45:00
1975003,Estadio La Cartuja de Sevilla,Manuel Pellegrini,Carlos Vicens,2 : 1,2 : 4,66694,366,Davide Massa,2026-04-16T21:00:00
1975010,Renato Dall'Ara,Vincenzo Italiano,Unai Emery,0 : 1,1 : 3,31142,2665,Sandro Schärer,2026-04-09T21:00:00
1975011,Villa Park,Unai Emery,Vincenzo Italiano,3 : 0,4 : 0,41662,233,José María Sánchez Martínez,2026-04-16T21:00:00
1978426,The City Ground,Vítor Manuel de Oliveira Lopes Pereira,Unai Emery,0 : 0,1 : 0,29790,2356,João Pinheiro,2026-04-30T21:00:00
1978427,Villa Park,Unai Emery,Vítor Manuel de Oliveira Lopes Pereira,1 : 0,4 : 0,43028,2106,Glenn Nyberg,2026-05-07T21:00:00
1978428,Estádio Municipal de Braga,Carlos Vicens,Julian Schuster,1 : 1,2 : 1,27161,99,Anthony Taylor,2026-04-30T21:00:00
1978429,Europa-Park Stadion,Julian Schuster,Carlos Vicens,2 : 0,3 : 1,33700,366,Davide Massa,2026-05-07T21:00:00
1979616,Tüpras Stadyumu,Julian Schuster,Unai Emery,0 : 2,0 : 3,37324,880,François Letexier,2026-05-20T21:00:00
