id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,data_source
14062233,2026-03-07,Bundesliga,Bundesliga 25/26,2538,2681,SC Freiburg,Bayer 04 Leverkusen,3.0,3.0,sofascore
14065185,2026-03-07,Bundesliga,Bundesliga 25/26,2671,2673,1. FC Köln,Borussia Dortmund,1.0,2.0,sofascore
14065181,2026-03-08,Bundesliga,Bundesliga 25/26,2526,2674,FC St. Pauli,Eintracht Frankfurt,0.0,0.0,sofascore
14065182,2026-03-08,Bundesliga,Bundesliga 25/26,2547,2534,1. FC Union Berlin,SV Werder Bremen,1.0,4.0,sofascore
14065187,2026-03-13,Bundesliga,Bundesliga 25/26,2527,2526,Borussia M'gladbach,FC St. Pauli,2.0,0.0,sofascore
14065191,2026-03-14,Bundesliga,Bundesliga 25/26,2569,2524,TSG Hoffenheim,VfL Wolfsburg,1.0,1.0,sofascore
14065190,2026-03-14,Bundesliga,Bundesliga 25/26,2674,5885,Eintracht Frankfurt,1. FC Heidenheim,1.0,0.0,sofascore
14065184,2026-03-14,Bundesliga,Bundesliga 25/26,2673,2600,Borussia Dortmund,FC Augsburg,2.0,0.0,sofascore
14065183,2026-03-14,Bundesliga,Bundesliga 25/26,2681,2672,Bayer 04 Leverkusen,FC Bayern München,1.0,1.0,sofascore
14065192,2026-03-14,Bundesliga,Bundesliga 25/26,2676,2671,Hamburger SV,1. FC Köln,1.0,1.0,sofascore
14065189,2026-03-15,Bundesliga,Bundesliga 25/26,2534,2556,SV Werder Bremen,1. FSV Mainz 05,0.0,2.0,sofascore
14065188,2026-03-15,Bundesliga,Bundesliga 25/26,2538,2547,SC Freiburg,1. FC Union Berlin,0.0,1.0,sofascore
14065195,2026-03-15,Bundesliga,Bundesliga 25/26,2677,36360,VfB Stuttgart,RB Leipzig,1.0,0.0,sofascore
14065198,2026-03-20,Bundesliga,Bundesliga 25/26,36360,2569,RB Leipzig,TSG Hoffenheim,5.0,0.0,sofascore
14065199,2026-03-21,Bundesliga,Bundesliga 25/26,2524,2534,VfL Wolfsburg,SV Werder Bremen,0.0,1.0,sofascore
14065202,2026-03-21,Bundesliga,Bundesliga 25/26,2671,2527,1. FC Köln,Borussia M'gladbach,3.0,3.0,sofascore
14065200,2026-03-21,Bundesliga,Bundesliga 25/26,5885,2681,1. FC Heidenheim,Bayer 04 Leverkusen,3.0,3.0,sofascore
14065193,2026-03-21,Bundesliga,Bundesliga 25/26,2672,2547,FC Bayern München,1. FC Union Berlin,4.0,0.0,sofascore
14065197,2026-03-21,Bundesliga,Bundesliga 25/26,2673,2676,Borussia Dortmund,Hamburger SV,3.0,2.0,sofascore
14065194,2026-03-22,Bundesliga,Bundesliga 25/26,2556,2674,1. FSV Mainz 05,Eintracht Frankfurt,2.0,1.0,sofascore
14065201,2026-03-22,Bundesliga,Bundesliga 25/26,2526,2538,FC St. Pauli,SC Freiburg,1.0,2.0,sofascore
14065196,2026-03-22,Bundesliga,Bundesliga 25/26,2600,2677,FC Augsburg,VfB Stuttgart,2.0,5.0,sofascore
14065211,2026-04-04,Bundesliga,Bundesliga 25/26,2676,2600,Hamburger SV,FC Augsburg,1.0,1.0,sofascore
14065208,2026-04-04,Bundesliga,Bundesliga 25/26,2527,5885,Borussia M'gladbach,1. FC Heidenheim,2.0,2.0,sofascore
14065210,2026-04-04,Bundesliga,Bundesliga 25/26,2569,2556,TSG Hoffenheim,1. FSV Mainz 05,1.0,2.0,sofascore
14065205,2026-04-04,Bundesliga,Bundesliga 25/26,2534,36360,SV Werder Bremen,RB Leipzig,1.0,2.0,sofascore
14065203,2026-04-04,Bundesliga,Bundesliga 25/26,2681,2524,Bayer 04 Leverkusen,VfL Wolfsburg,6.0,3.0,sofascore
14062212,2026-02-13,Bundesliga,Bundesliga 25/26,2673,2556,Borussia Dortmund,1. FSV Mainz 05,4.0,0.0,sofascore
14062213,2026-02-14,Bundesliga,Bundesliga 25/26,2676,2547,Hamburger SV,1. FC Union Berlin,3.0,2.0,sofascore
14062214,2026-02-14,Bundesliga,Bundesliga 25/26,2569,2538,TSG Hoffenheim,SC Freiburg,3.0,0.0,sofascore
14062208,2026-02-14,Bundesliga,Bundesliga 25/26,2674,2527,Eintracht Frankfurt,Borussia M'gladbach,3.0,0.0,sofascore
14062206,2026-02-14,Bundesliga,Bundesliga 25/26,2681,2526,Bayer 04 Leverkusen,FC St. Pauli,4.0,0.0,sofascore
14062207,2026-02-14,Bundesliga,Bundesliga 25/26,2534,2672,SV Werder Bremen,FC Bayern München,0.0,3.0,sofascore
14062209,2026-02-14,Bundesliga,Bundesliga 25/26,2677,2671,VfB Stuttgart,1. FC Köln,3.0,1.0,sofascore
14062211,2026-02-15,Bundesliga,Bundesliga 25/26,2600,5885,FC Augsburg,1. FC Heidenheim,1.0,0.0,sofascore
14062210,2026-02-15,Bundesliga,Bundesliga 25/26,36360,2524,RB Leipzig,VfL Wolfsburg,2.0,2.0,sofascore
14062216,2026-02-20,Bundesliga,Bundesliga 25/26,2556,2676,1. FSV Mainz 05,Hamburger SV,1.0,1.0,sofascore
14062220,2026-02-21,Bundesliga,Bundesliga 25/26,2524,2600,VfL Wolfsburg,FC Augsburg,2.0,3.0,sofascore
14062223,2026-02-21,Bundesliga,Bundesliga 25/26,2671,2569,1. FC Köln,TSG Hoffenheim,2.0,2.0,sofascore
14062219,2026-02-21,Bundesliga,Bundesliga 25/26,2547,2681,1. FC Union Berlin,Bayer 04 Leverkusen,1.0,0.0,sofascore
14062215,2026-02-21,Bundesliga,Bundesliga 25/26,2672,2674,FC Bayern München,Eintracht Frankfurt,3.0,2.0,sofascore
14062218,2026-02-21,Bundesliga,Bundesliga 25/26,36360,2673,RB Leipzig,Borussia Dortmund,2.0,2.0,sofascore
14062217,2026-02-22,Bundesliga,Bundesliga 25/26,2538,2527,SC Freiburg,Borussia M'gladbach,2.0,1.0,sofascore
14062221,2026-02-22,Bundesliga,Bundesliga 25/26,2526,2534,FC St. Pauli,SV Werder Bremen,2.0,1.0,sofascore
14062222,2026-02-22,Bundesliga,Bundesliga 25/26,5885,2677,1. FC Heidenheim,VfB Stuttgart,3.0,3.0,sofascore
14062232,2026-02-27,Bundesliga,Bundesliga 25/26,2600,2671,FC Augsburg,1. FC Köln,2.0,0.0,sofascore
14062230,2026-02-28,Bundesliga,Bundesliga 25/26,2534,5885,SV Werder Bremen,1. FC Heidenheim,2.0,0.0,sofascore
14062231,2026-02-28,Bundesliga,Bundesliga 25/26,2569,2526,TSG Hoffenheim,FC St. Pauli,0.0,1.0,sofascore
14062226,2026-02-28,Bundesliga,Bundesliga 25/26,2527,2547,Borussia M'gladbach,1. FC Union Berlin,1.0,0.0,sofascore
14062227,2026-02-28,Bundesliga,Bundesliga 25/26,2681,2556,Bayer 04 Leverkusen,1. FSV Mainz 05,1.0,1.0,sofascore
14062225,2026-02-28,Bundesliga,Bundesliga 25/26,2673,2672,Borussia Dortmund,FC Bayern München,2.0,3.0,sofascore
14062234,2026-03-01,Bundesliga,Bundesliga 25/26,2677,2524,VfB Stuttgart,VfL Wolfsburg,4.0,0.0,sofascore
14062224,2026-03-01,Bundesliga,Bundesliga 25/26,2674,2538,Eintracht Frankfurt,SC Freiburg,2.0,0.0,sofascore
14062229,2026-03-01,Bundesliga,Bundesliga 25/26,2676,36360,Hamburger SV,RB Leipzig,1.0,2.0,sofascore
15380505,2026-03-04,Bundesliga,Bundesliga 25/26,2676,2681,Hamburger SV,Bayer 04 Leverkusen,0.0,1.0,sofascore
14062228,2026-03-06,Bundesliga,Bundesliga 25/26,2672,2527,FC Bayern München,Borussia M'gladbach,4.0,1.0,sofascore
14065186,2026-03-07,Bundesliga,Bundesliga 25/26,5885,2569,1. FC Heidenheim,TSG Hoffenheim,2.0,4.0,sofascore
14062172,2026-01-18,Bundesliga,Bundesliga 25/26,2600,2538,FC Augsburg,SC Freiburg,2.0,2.0,sofascore
14062185,2026-01-23,Bundesliga,Bundesliga 25/26,2526,2676,FC St. Pauli,Hamburger SV,0.0,0.0,sofascore
14062182,2026-01-24,Bundesliga,Bundesliga 25/26,2556,2524,1. FSV Mainz 05,VfL Wolfsburg,3.0,1.0,sofascore
14062180,2026-01-24,Bundesliga,Bundesliga 25/26,2674,2569,Eintracht Frankfurt,TSG Hoffenheim,1.0,3.0,sofascore
14062186,2026-01-24,Bundesliga,Bundesliga 25/26,5885,36360,1. FC Heidenheim,RB Leipzig,0.0,3.0,sofascore
14062178,2026-01-24,Bundesliga,Bundesliga 25/26,2681,2534,Bayer 04 Leverkusen,SV Werder Bremen,1.0,0.0,sofascore
14062179,2026-01-24,Bundesliga,Bundesliga 25/26,2672,2600,FC Bayern München,FC Augsburg,1.0,2.0,sofascore
14062184,2026-01-24,Bundesliga,Bundesliga 25/26,2547,2673,1. FC Union Berlin,Borussia Dortmund,0.0,3.0,sofascore
14062183,2026-01-25,Bundesliga,Bundesliga 25/26,2527,2677,Borussia M'gladbach,VfB Stuttgart,0.0,3.0,sofascore
14062181,2026-01-25,Bundesliga,Bundesliga 25/26,2538,2671,SC Freiburg,1. FC Köln,2.0,1.0,sofascore
15362425,2026-01-27,Bundesliga,Bundesliga 25/26,2534,2569,SV Werder Bremen,TSG Hoffenheim,0.0,2.0,sofascore
15362429,2026-01-27,Bundesliga,Bundesliga 25/26,2526,36360,FC St. Pauli,RB Leipzig,1.0,1.0,sofascore
14062196,2026-01-30,Bundesliga,Bundesliga 25/26,2671,2524,1. FC Köln,VfL Wolfsburg,1.0,0.0,sofascore
14062195,2026-01-31,Bundesliga,Bundesliga 25/26,2600,2526,FC Augsburg,FC St. Pauli,2.0,1.0,sofascore
14062194,2026-01-31,Bundesliga,Bundesliga 25/26,2534,2527,SV Werder Bremen,Borussia M'gladbach,1.0,1.0,sofascore
14062197,2026-01-31,Bundesliga,Bundesliga 25/26,2569,2547,TSG Hoffenheim,1. FC Union Berlin,3.0,1.0,sofascore
14062189,2026-01-31,Bundesliga,Bundesliga 25/26,36360,2556,RB Leipzig,1. FSV Mainz 05,1.0,2.0,sofascore
14062190,2026-01-31,Bundesliga,Bundesliga 25/26,2674,2681,Eintracht Frankfurt,Bayer 04 Leverkusen,1.0,3.0,sofascore
14062191,2026-01-31,Bundesliga,Bundesliga 25/26,2676,2672,Hamburger SV,FC Bayern München,2.0,2.0,sofascore
14062192,2026-02-01,Bundesliga,Bundesliga 25/26,2677,2538,VfB Stuttgart,SC Freiburg,1.0,0.0,sofascore
14062187,2026-02-01,Bundesliga,Bundesliga 25/26,2673,5885,Borussia Dortmund,1. FC Heidenheim,3.0,2.0,sofascore
14062202,2026-02-06,Bundesliga,Bundesliga 25/26,2547,2674,1. FC Union Berlin,Eintracht Frankfurt,1.0,1.0,sofascore
14062203,2026-02-07,Bundesliga,Bundesliga 25/26,5885,2676,1. FC Heidenheim,Hamburger SV,0.0,2.0,sofascore
14062198,2026-02-07,Bundesliga,Bundesliga 25/26,2556,2600,1. FSV Mainz 05,FC Augsburg,2.0,0.0,sofascore
14062193,2026-02-07,Bundesliga,Bundesliga 25/26,2538,2534,SC Freiburg,SV Werder Bremen,1.0,0.0,sofascore
14062201,2026-02-07,Bundesliga,Bundesliga 25/26,2526,2677,FC St. Pauli,VfB Stuttgart,2.0,1.0,sofascore
14062200,2026-02-07,Bundesliga,Bundesliga 25/26,2524,2673,VfL Wolfsburg,Borussia Dortmund,1.0,2.0,sofascore
14062199,2026-02-07,Bundesliga,Bundesliga 25/26,2527,2681,Borussia M'gladbach,Bayer 04 Leverkusen,1.0,1.0,sofascore
14062205,2026-02-08,Bundesliga,Bundesliga 25/26,2671,36360,1. FC Köln,RB Leipzig,1.0,2.0,sofascore
14062188,2026-02-08,Bundesliga,Bundesliga 25/26,2672,2569,FC Bayern München,TSG Hoffenheim,5.0,1.0,sofascore
14062140,2025-12-20,Bundesliga,Bundesliga 25/26,2676,2674,Hamburger SV,Eintracht Frankfurt,1.0,1.0,sofascore
14062143,2025-12-20,Bundesliga,Bundesliga 25/26,36360,2681,RB Leipzig,Bayer 04 Leverkusen,1.0,3.0,sofascore
14062159,2025-12-21,Bundesliga,Bundesliga 25/26,2556,2526,1. FSV Mainz 05,FC St. Pauli,0.0,0.0,sofascore
14062150,2025-12-21,Bundesliga,Bundesliga 25/26,5885,2672,1. FC Heidenheim,FC Bayern München,0.0,4.0,sofascore
14062141,2026-01-09,Bundesliga,Bundesliga 25/26,2674,2673,Eintracht Frankfurt,Borussia Dortmund,3.0,3.0,sofascore
14062157,2026-01-10,Bundesliga,Bundesliga 25/26,5885,2671,1. FC Heidenheim,1. FC Köln,2.0,2.0,sofascore
14062144,2026-01-10,Bundesliga,Bundesliga 25/26,2534,2569,SV Werder Bremen,TSG Hoffenheim,,,sofascore
14062148,2026-01-10,Bundesliga,Bundesliga 25/26,2538,2676,SC Freiburg,Hamburger SV,2.0,1.0,sofascore
14062152,2026-01-10,Bundesliga,Bundesliga 25/26,2547,2556,1. FC Union Berlin,1. FSV Mainz 05,2.0,2.0,sofascore
14062153,2026-01-10,Bundesliga,Bundesliga 25/26,2526,36360,FC St. Pauli,RB Leipzig,,,sofascore
14062147,2026-01-10,Bundesliga,Bundesliga 25/26,2681,2677,Bayer 04 Leverkusen,VfB Stuttgart,1.0,4.0,sofascore
14062158,2026-01-11,Bundesliga,Bundesliga 25/26,2527,2600,Borussia M'gladbach,FC Augsburg,4.0,0.0,sofascore
14062145,2026-01-11,Bundesliga,Bundesliga 25/26,2672,2524,FC Bayern München,VfL Wolfsburg,8.0,1.0,sofascore
14062161,2026-01-13,Bundesliga,Bundesliga 25/26,2677,2674,VfB Stuttgart,Eintracht Frankfurt,3.0,2.0,sofascore
14062156,2026-01-13,Bundesliga,Bundesliga 25/26,2556,5885,1. FSV Mainz 05,1. FC Heidenheim,2.0,1.0,sofascore
14062169,2026-01-13,Bundesliga,Bundesliga 25/26,2676,2681,Hamburger SV,Bayer 04 Leverkusen,,,sofascore
14062154,2026-01-13,Bundesliga,Bundesliga 25/26,2673,2534,Borussia Dortmund,SV Werder Bremen,3.0,0.0,sofascore
14062164,2026-01-14,Bundesliga,Bundesliga 25/26,2524,2526,VfL Wolfsburg,FC St. Pauli,2.0,1.0,sofascore
14062166,2026-01-14,Bundesliga,Bundesliga 25/26,2569,2527,TSG Hoffenheim,Borussia M'gladbach,5.0,1.0,sofascore
14062149,2026-01-14,Bundesliga,Bundesliga 25/26,36360,2538,RB Leipzig,SC Freiburg,2.0,0.0,sofascore
14062167,2026-01-14,Bundesliga,Bundesliga 25/26,2671,2672,1. FC Köln,FC Bayern München,1.0,3.0,sofascore
14062165,2026-01-15,Bundesliga,Bundesliga 25/26,2600,2547,FC Augsburg,1. FC Union Berlin,1.0,1.0,sofascore
14062174,2026-01-16,Bundesliga,Bundesliga 25/26,2534,2674,SV Werder Bremen,Eintracht Frankfurt,3.0,3.0,sofascore
14062176,2026-01-17,Bundesliga,Bundesliga 25/26,2671,2556,1. FC Köln,1. FSV Mainz 05,2.0,1.0,sofascore
14062173,2026-01-17,Bundesliga,Bundesliga 25/26,2524,5885,VfL Wolfsburg,1. FC Heidenheim,1.0,1.0,sofascore
