id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
735701,Ruben van Bommel,Países Bajos,2004-08-03,Extremo izquierdo,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
735790,Dani Bolt,Brasil,1999-06-18,Lateral derecho,Champions League,Qarabağ FK,qarabag-fk,10625,2025,transfermarkt
739477,Jajá,Brasil,2001-04-15,Extremo derecho,Champions League,Pafos FC,pafos-fc,45457,2025,transfermarkt
741090,Jonas Rouhi,Suecia,2004-01-07,,Champions League,Juventus de Turín,juventus-turin,506,2025,transfermarkt
741142,Zaid Romero,Argentina,1999-12-15,,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
741253,Javier Boñar,España,2005-06-03,,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
741293,Pol Fortuny,España,2005-03-11,,Champions League,Real Madrid CF,real-madrid,418,2025,transfermarkt
741492,Francisco Silva,Portugal,2005-11-20,,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
742095,Gabriel Pereira,Brasil,2000-05-07,Defensa central,Champions League,FC Copenhague,fc-kopenhagen,190,2025,transfermarkt
742201,Giuliano Simeone,Argentina,2002-12-18,Extremo derecho,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
742451,Carlos Forbs,Portugal,2004-03-19,Extremo derecho,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
742803,Santiago Hezze,Argentina,2001-10-22,Pivote,Champions League,Olympiacos El Pireo,olympiakos-piraus,683,2025,transfermarkt
743122,Kyriani Sabbe,Bélgica,2005-01-26,Lateral derecho,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
743381,Jorne Spileers,Bélgica,2005-01-21,Defensa central,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
743387,Stanis Idumbo,Bélgica,2005-06-29,Mediocentro ofensivo,Champions League,AS Mónaco,as-monaco,162,2025,transfermarkt
743413,Nico O'Reilly,Inglaterra,2005-03-21,Lateral izquierdo,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
743498,Wilson Odobert,Francia,2004-11-28,Extremo izquierdo,Champions League,Tottenham Hotspur,tottenham-hotspur,148,2025,transfermarkt
743588,Rômulo,Brasil,2004-01-31,,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
743591,Savinho,Brasil,2004-04-10,Extremo izquierdo,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
743600,Andrey Santos,Brasil,2004-05-03,Mediocentro,Champions League,Chelsea FC,fc-chelsea,631,2025,transfermarkt
744857,Elias Baum,Alemania,2005-10-26,Lateral derecho,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
745173,Mamadou Coulibaly,Francia,2004-04-21,Mediocentro,Champions League,AS Mónaco,as-monaco,162,2025,transfermarkt
745200,Maghnes Akliouche,Francia,2002-02-25,Extremo derecho,Champions League,AS Mónaco,as-monaco,162,2025,transfermarkt
745341,Yann Lienard,Francia,2003-03-16,Portero,Champions League,AS Mónaco,as-monaco,162,2025,transfermarkt
746695,Kamaldeen Sulemana,Ghana,2002-02-15,Extremo izquierdo,Champions League,Atalanta de Bérgamo,atalanta-bergamo,800,2025,transfermarkt
746711,Alessandro Calligaris,Italia,2005-03-07,,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
746833,Caleb Wiley,Estados Unidos,2004-12-22,Lateral izquierdo,Champions League,Chelsea FC,fc-chelsea,631,2025,transfermarkt
747957,Vincent Manuba,Alemania,2005-07-01,,Champions League,Bayern Múnich,fc-bayern-munchen,27,2025,transfermarkt
748804,Mika Godts,Bélgica,2005-06-07,Extremo izquierdo,Champions League,Ajax de Ámsterdam,ajax-amsterdam,610,2025,transfermarkt
763079,Abdukodir Khusanov,Uzbekistán,2004-02-29,Defensa central,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
764944,Damir Kasabulat,Kazajistán,2002-08-29,Pivote,Champions League,Kairat Almaty,kairat-almaty,10482,2025,transfermarkt
765097,Samuel Pikolon,República Checa,2006-03-05,,Champions League,SK Slavia Praga,sk-slavia-prag,62,2025,transfermarkt
765743,Dies Janse,Países Bajos,2006-01-17,,Champions League,Ajax de Ámsterdam,ajax-amsterdam,610,2025,transfermarkt
775605,Pablo Barrios,España,2003-06-15,Mediocentro,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
776890,Nicolas Jackson,Senegal,2001-06-20,Delantero centro,Champions League,Bayern Múnich,fc-bayern-munchen,27,2025,transfermarkt
780136,Aleksandar Stanković,Serbia,2005-08-03,Pivote,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
780630,Willy Kambwala,Francia,2004-08-25,Defensa central,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
782187,Fousseny Doumbia,Malí,2005-02-23,,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
789082,Vanderson,Brasil,2001-06-21,Lateral derecho,Champions League,AS Mónaco,as-monaco,162,2025,transfermarkt
792331,Roony Bardghji,Suecia,2005-11-15,Extremo derecho,Champions League,FC Barcelona,fc-barcelona,131,2025,transfermarkt
792380,Aleksandar Pavlovic,Alemania,2004-05-03,Pivote,Champions League,Bayern Múnich,fc-bayern-munchen,27,2025,transfermarkt
795738,Paxten Aaronson,Estados Unidos,2003-08-26,,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
796037,Charles Sagoe Jr,Inglaterra,2004-07-24,,Champions League,Arsenal FC,fc-arsenal,11,2025,transfermarkt
796297,Jobe Bellingham,Inglaterra,2005-09-23,Mediocentro,Champions League,Borussia Dortmund,borussia-dortmund,16,2025,transfermarkt
799993,Ayoube Amaimouni-Echghouyab,Marruecos,2004-11-30,Extremo derecho,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
800976,Adamo Nagalo,Burkina Faso,2002-09-22,,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
801446,Diogo Ferreira,Portugal,2007-02-10,,Champions League,SL Benfica,benfica-lissabon,294,2025,transfermarkt
801734,Mathys Tel,Francia,2005-04-27,Delantero centro,Champions League,Tottenham Hotspur,tottenham-hotspur,148,2025,transfermarkt
805054,William Clem,Dinamarca,2004-06-20,Pivote,Champions League,FC Copenhague,fc-kopenhagen,190,2025,transfermarkt
805714,Renato Veiga,Portugal,2003-07-29,Defensa central,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
807386,Conrad Harder,Dinamarca,2005-04-07,,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
810092,Warren Zaïre-Emery,Francia,2006-03-08,Mediocentro,Champions League,París Saint-Germain FC,fc-paris-saint-germain,583,2025,transfermarkt
810285,Mateo Biondic,Alemania,2003-07-24,Delantero centro,Champions League,Union Saint-Gilloise,royale-union-saint-gilloise,3948,2025,transfermarkt
810895,Eliesse Ben Seghir,Marruecos,2005-02-16,Extremo izquierdo,Champions League,Bayer 04 Leverkusen,bayer-04-leverkusen,15,2025,transfermarkt
810909,Lucas Michal,Francia,2005-06-22,,Champions League,AS Mónaco,as-monaco,162,2025,transfermarkt
811778,Álvaro Carreras,España,2003-03-23,Lateral izquierdo,Champions League,Real Madrid CF,real-madrid,418,2025,transfermarkt
811779,Alejandro Garnacho,Argentina,2004-07-01,Extremo izquierdo,Champions League,Chelsea FC,fc-chelsea,631,2025,transfermarkt
813437,Isaac Babadi,Países Bajos,2005-04-06,,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
814446,Luca Marianucci,Italia,2004-07-23,,Champions League,SSC Nápoles,ssc-neapel,6195,2025,transfermarkt
816585,Can Uzun,Turquía,2005-11-11,Mediocentro ofensivo,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
816974,Tygo Land,Países Bajos,2006-01-11,,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
818933,Jérémie Gnali,Francia,2002-04-12,Lateral izquierdo,Champions League,Qarabağ FK,qarabag-fk,10625,2025,transfermarkt
