understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
28781,9767,Sunderland,Habib Diarra,5,93.98,22.71,0.3046,Saved,Right Foot,Open Play,h,BallTouch,Eliezer Mayenda,2025,understat
28781,13715,Sunderland,Dan Ballard,6,102.17,41.62,0.0249,Off T,Head,From Corner,h,Cross,Granit Xhaka,2025,understat
28781,13718,Sunderland,Eliezer Mayenda,43,96.28,27.81,0.09,Blocked,Right Foot,From Corner,h,None,,2025,understat
28781,13715,Sunderland,Dan Ballard,43,99.96,41.55,0.0382,Saved,Head,From Corner,h,Cross,Granit Xhaka,2025,understat
28781,11710,Sunderland,Simon Adingra,47,91.88,39.37,0.0757,Off T,Right Foot,Open Play,h,None,,2025,understat
28781,13715,Sunderland,Dan Ballard,57,100.9,40.87,0.0167,Off T,Head,From Corner,h,Aerial,Trai Hume,2025,understat
28781,9767,Sunderland,Habib Diarra,59,76.02,35.43,0.0169,Off T,Left Foot,Open Play,h,Pass,Simon Adingra,2025,understat
28781,13718,Sunderland,Eliezer Mayenda,60,94.71,30.12,0.0367,Goal,Head,Open Play,h,Aerial,Omar Alderete,2025,understat
28781,13715,Sunderland,Dan Ballard,72,95.23,36.86,0.0281,Goal,Head,From Corner,h,Aerial,,2025,understat
28781,7148,Sunderland,Wilson Isidor,91,89.35,48.69,0.0925,Goal,Right Foot,Open Play,h,Pass,Chemsdine Talbi,2025,understat
28781,1776,West Ham,Jarrod Bowen,2,97.23,20.81,0.0659,Saved,Right Foot,Open Play,a,TakeOn,James Ward-Prowse,2025,understat
28781,13723,West Ham,El Hadji Malick Diouf,3,76.02,34.68,0.0144,Off T,Left Foot,From Corner,a,None,,2025,understat
28781,13723,West Ham,El Hadji Malick Diouf,25,89.46,39.37,0.0907,Blocked,Left Foot,Open Play,a,Pass,Niclas Füllkrug,2025,understat
28781,6098,West Ham,Niclas Füllkrug,26,95.23,38.69,0.1013,Blocked,Right Foot,Open Play,a,Cross,El Hadji Malick Diouf,2025,understat
28781,1776,West Ham,Jarrod Bowen,28,83.79,39.85,0.0414,Blocked,Left Foot,Open Play,a,Pass,El Hadji Malick Diouf,2025,understat
28781,8267,West Ham,Guido Rodríguez,41,79.8,37.26,0.0242,Blocked,Right Foot,Open Play,a,None,,2025,understat
28781,13723,West Ham,El Hadji Malick Diouf,77,78.43,33.18,0.0167,Blocked,Left Foot,From Corner,a,None,,2025,understat
28781,1776,West Ham,Jarrod Bowen,84,95.65,29.51,0.0571,Blocked,Head,From Corner,a,Cross,Andy Irving,2025,understat
28781,8288,West Ham,Tomas Soucek,84,89.25,27.81,0.0489,Saved,Left Foot,Open Play,a,None,,2025,understat
28781,468,West Ham,Callum Wilson,86,93.13,38.35,0.0243,Off T,Head,Set Piece,a,None,,2025,understat
28781,6098,West Ham,Niclas Füllkrug,89,92.5,35.9,0.0411,Saved,Head,Open Play,a,Cross,Aaron Wan-Bissaka,2025,understat
28781,1776,West Ham,Jarrod Bowen,95,83.16,35.02,0.0329,Blocked,Left Foot,Set Piece,a,HeadPass,Max Kilman,2025,understat
28782,12912,Tottenham,Lucas Bergvall,0,102.58,28.02,0.0928,Saved,Right Foot,Open Play,h,None,,2025,understat
28782,10760,Tottenham,Brennan Johnson,0,85.15,32.84,0.0362,Off T,Right Foot,From Corner,h,None,,2025,understat
28782,6026,Tottenham,Richarlison,9,91.77,31.28,0.0744,Goal,Right Foot,Open Play,h,Cross,Mohammed Kudus,2025,understat
28782,6026,Tottenham,Richarlison,11,97.23,35.5,0.0887,Off T,Head,Open Play,h,Aerial,Pedro Porro,2025,understat
28782,10764,Tottenham,Djed Spence,39,81.27,41.96,0.0326,Off T,Right Foot,Open Play,h,Pass,Mohammed Kudus,2025,understat
28782,10050,Tottenham,Micky van de Ven,48,102.27,32.98,0.1455,Off T,Head,From Corner,h,Cross,Mohammed Kudus,2025,understat
28782,6026,Tottenham,Richarlison,51,92.92,39.98,0.0888,Blocked,Right Foot,Open Play,h,Cross,Brennan Johnson,2025,understat
28782,6026,Tottenham,Richarlison,51,101.32,39.24,0.4999,Saved,Left Foot,Open Play,h,Rebound,,2025,understat
28782,12027,Tottenham,Mohammed Kudus,51,96.28,15.44,0.0294,Off T,Left Foot,Open Play,h,Rebound,,2025,understat
28782,6026,Tottenham,Richarlison,59,93.03,36.92,0.0936,Goal,Right Foot,Open Play,h,Cross,Mohammed Kudus,2025,understat
28782,6912,Tottenham,Pedro Porro,63,80.53,21.9,0.0259,Off T,Right Foot,Open Play,h,Pass,Brennan Johnson,2025,understat
28782,10760,Tottenham,Brennan Johnson,65,95.97,39.37,0.5134,Goal,Right Foot,Open Play,h,Throughball,Pape Sarr,2025,understat
28782,10050,Tottenham,Micky van de Ven,69,101.22,31.55,0.1343,Off T,Head,From Corner,h,Cross,Mohammed Kudus,2025,understat
28782,1679,Tottenham,Dominic Solanke,74,89.35,32.84,0.0927,Off T,Left Foot,Open Play,h,Cross,Pedro Porro,2025,understat
28782,10764,Tottenham,Djed Spence,83,100.9,45.49,0.0641,Saved,Right Foot,Open Play,h,TakeOn,Wilson Odobert,2025,understat
28782,12027,Tottenham,Mohammed Kudus,84,80.01,25.23,0.0267,Off T,Left Foot,From Corner,h,Pass,Pedro Porro,2025,understat
28782,10746,Burnley,Jaidon Anthony,13,93.55,34.27,0.0279,Off T,Head,Set Piece,a,Aerial,Josh Cullen,2025,understat
28782,13726,Burnley,Oliver Sonne,14,87.25,45.22,0.0169,Off T,Left Foot,From Corner,a,Aerial,,2025,understat
28782,13728,Burnley,Josh Laurent,22,78.02,27.13,0.0193,Saved,Right Foot,Open Play,a,Pass,Jaidon Anthony,2025,understat
28782,638,Burnley,Kyle Walker,23,73.92,25.77,0.0138,Off T,Right Foot,Open Play,a,Pass,Josh Cullen,2025,understat
28782,10746,Burnley,Jaidon Anthony,23,81.27,43.25,0.0247,Blocked,Right Foot,Open Play,a,Pass,Josh Cullen,2025,understat
28782,7498,Burnley,Lyle Foster,26,81.38,28.08,0.1391,Blocked,Right Foot,Open Play,a,Throughball,Josh Cullen,2025,understat
28782,9487,Burnley,Maxime Estève,28,96.6,34.34,0.0453,Saved,OtherBodyPart,From Corner,a,Aerial,Jaidon Anthony,2025,understat
28782,13728,Burnley,Josh Laurent,29,90.93,47.74,0.0375,Off T,Right Foot,Open Play,a,Pass,Quilindschy Hartman,2025,understat
28782,9558,Burnley,Hannibal Mejbri,31,82.32,53.18,0.0406,Off T,Right Foot,Direct Freekick,a,Standard,,2025,understat
28782,13728,Burnley,Josh Laurent,42,82.32,28.02,0.0269,Saved,Right Foot,Open Play,a,Pass,Oliver Sonne,2025,understat
28782,7498,Burnley,Lyle Foster,57,95.02,31.48,0.1227,Off T,Left Foot,Open Play,a,Pass,Josh Laurent,2025,understat
28782,10746,Burnley,Jaidon Anthony,57,97.75,36.72,0.129,Saved,Right Foot,Open Play,a,Rebound,Lyle Foster,2025,understat
28782,9451,Burnley,Chimuanya Ugochukwu,67,86.42,34.82,0.0747,Off T,Right Foot,Open Play,a,Pass,Lyle Foster,2025,understat
