understat_player_id,player_name,team_name,competition,season,source
13775,Estêvão,Chelsea,Premier League,2025_2026,understat
13776,Jorrel Hato,Chelsea,Premier League,2025_2026,understat
13777,Rio Cardines,Crystal Palace,Premier League,2025_2026,understat
13778,Igor Jesus,Nottingham Forest,Premier League,2025_2026,understat
13779,Jair,Nottingham Forest,Premier League,2025_2026,understat
13834,Ao Tanaka,Leeds,Premier League,2025_2026,understat
13835,Joël Piroe,Leeds,Premier League,2025_2026,understat
13872,Max Dowman,Arsenal,Premier League,2025_2026,understat
14027,Veljko Milosavljevic,Bournemouth,Premier League,2025_2026,understat
14028,Stefanos Tzimas,Brighton,Premier League,2025_2026,understat
14029,Tom Watson,Brighton,Premier League,2025_2026,understat
14030,Kevin,Fulham,Premier League,2025_2026,understat
14099,Luke O&#039;Nien,Sunderland,Premier League,2025_2026,understat
14118,Charalampos Kostoulas,Brighton,Premier League,2025_2026,understat
14193,George Hemmings,Aston Villa,Premier League,2025_2026,understat
14198,Shea Lacey,Manchester United,Premier League,2025_2026,understat
14217,Romelle Donovan,Brentford,Premier League,2025_2026,understat
14219,Mohamadou Kanté,West Ham,Premier League,2025_2026,understat
14290,Pablo,West Ham,Premier League,2025_2026,understat
1433,Federico Chiesa,Liverpool,Premier League,2025_2026,understat
14374,Alex Tóth,Bournemouth,Premier League,2025_2026,understat
14395,Rayan,Bournemouth,Premier League,2025_2026,understat
14410,Souza,Tottenham,Premier League,2025_2026,understat
14424,Nilson Angulo,Sunderland,Premier League,2025_2026,understat
14446,Alysson Edward,Aston Villa,Premier League,2025_2026,understat
14584,Jesse Derry,Chelsea,Premier League,2025_2026,understat
1537,Sasa Lukic,Fulham,Premier League,2025_2026,understat
1653,Michael Keane,Everton,Premier League,2025_2026,understat
1665,James Tarkowski,Everton,Premier League,2025_2026,understat
1679,Dominic Solanke,Tottenham,Premier League,2025_2026,understat
1687,Harry Maguire,Manchester United,Premier League,2025_2026,understat
1688,Andrew Robertson,Liverpool,Premier League,2025_2026,understat
1760,Arthur Masuaku,Sunderland,Premier League,2025_2026,understat
1776,Jarrod Bowen,West Ham,Premier League,2025_2026,understat
1789,Lewis Cook,Bournemouth,Premier League,2025_2026,understat
181,Bernd Leno,Fulham,Premier League,2025_2026,understat
1823,Lucas Digne,Aston Villa,Premier League,2025_2026,understat
204,Granit Xhaka,Sunderland,Premier League,2025_2026,understat
2182,Jefferson Lerma,Crystal Palace,Premier League,2025_2026,understat
2203,Emiliano Buendía,Aston Villa,Premier League,2025_2026,understat
2248,Casemiro,Manchester United,Premier League,2025_2026,understat
2254,Mateo Kovacic,Manchester City,Premier League,2025_2026,understat
239,Pascal Groß,Brighton,Premier League,2025_2026,understat
2496,Rodri,Manchester City,Premier League,2025_2026,understat
2517,Martin Odegaard,Arsenal,Premier League,2025_2026,understat
2958,Oleksandr Zinchenko,Nottingham Forest,Premier League,2025_2026,understat
3203,Issa Diop,Fulham,Premier League,2025_2026,understat
3635,Bernardo Silva,Manchester City,Premier League,2025_2026,understat
3645,Olivier Boscagli,Brighton,Premier League,2025_2026,understat
4105,Raúl Jiménez,Fulham,Premier League,2025_2026,understat
4419,Adam Armstrong,Wolverhampton Wanderers,Premier League,2025_2026,understat
4422,Ashley Barnes,Burnley,Premier League,2025_2026,understat
4456,Chris Wood,Nottingham Forest,Premier League,2025_2026,understat
468,Callum Wilson,West Ham,Premier League,2025_2026,understat
489,James Milner,Brighton,Premier League,2025_2026,understat
500,Alex Iwobi,Fulham,Premier League,2025_2026,understat
501,Danny Welbeck,Brighton,Premier League,2025_2026,understat
5220,Kai Havertz,Arsenal,Premier League,2025_2026,understat
5221,Leon Bailey,Aston Villa,Premier League,2025_2026,understat
5232,Alexander Isak,Liverpool,Premier League,2025_2026,understat
5261,Kevin Danso,Tottenham,Premier League,2025_2026,understat
5304,Mikel Merino,Arsenal,Premier League,2025_2026,understat
5355,Jacob Bruun Larsen,Burnley,Premier League,2025_2026,understat
5543,Gabriel Jesus,Arsenal,Premier League,2025_2026,understat
5552,Nick Pope,Newcastle United,Premier League,2025_2026,understat
5553,Declan Rice,Arsenal,Premier League,2025_2026,understat
5555,Dominic Calvert-Lewin,Leeds,Premier League,2025_2026,understat
5590,Tosin Adarabioyo,Chelsea,Premier League,2025_2026,understat
5595,Daniel James,Leeds,Premier League,2025_2026,understat
5596,Harry Wilson,Fulham,Premier League,2025_2026,understat
5598,Angel Gomes,Wolverhampton Wanderers,Premier League,2025_2026,understat
5609,Yves Bissouma,Tottenham,Premier League,2025_2026,understat
5613,Gabriel,Arsenal,Premier League,2025_2026,understat
5659,Nordi Mukiele,Sunderland,Premier League,2025_2026,understat
5675,Ismaila Sarr,Crystal Palace,Premier League,2025_2026,understat
5722,Ibrahim Sangare,Nottingham Forest,Premier League,2025_2026,understat
5735,Jean-Philippe Mateta,Crystal Palace,Premier League,2025_2026,understat
5743,Randal Kolo Muani,Tottenham,Premier League,2025_2026,understat
5786,Yoane Wissa,Newcastle United,Premier League,2025_2026,understat
5789,Boubacar Kamara,Aston Villa,Premier League,2025_2026,understat
579,Nathan Aké,Manchester City,Premier League,2025_2026,understat
592,Ross Barkley,Aston Villa,Premier League,2025_2026,understat
5956,Youri Tielemans,Aston Villa,Premier League,2025_2026,understat
5973,Kenny Tete,Fulham,Premier League,2025_2026,understat
6026,Richarlison,Tottenham,Premier League,2025_2026,understat
603,Nathaniel Clyne,Crystal Palace,Premier League,2025_2026,understat
6048,Lewis Dunk,Brighton,Premier League,2025_2026,understat
6049,Solly March,Brighton,Premier League,2025_2026,understat
605,Jordan Henderson,Brentford,Premier League,2025_2026,understat
6055,Phil Foden,Manchester City,Premier League,2025_2026,understat
6063,Jacob Murphy,Newcastle United,Premier League,2025_2026,understat
6080,Victor Lindelöf,Aston Villa,Premier League,2025_2026,understat
6098,Niclas Füllkrug,West Ham,Premier League,2025_2026,understat
6104,Will Hughes,Crystal Palace,Premier League,2025_2026,understat
6108,Rodrigo Bentancur,Tottenham,Premier League,2025_2026,understat
6122,Douglas Luiz,Nottingham Forest,Premier League,2025_2026,understat
6145,Daichi Kamada,Crystal Palace,Premier League,2025_2026,understat
6157,Timothy Castagne,Fulham,Premier League,2025_2026,understat
6174,Nikola Milenkovic,Nottingham Forest,Premier League,2025_2026,understat
6219,Enes Ünal,Bournemouth,Premier League,2025_2026,understat
6221,Pau Torres,Aston Villa,Premier League,2025_2026,understat
6314,Joachim Andersen,Fulham,Premier League,2025_2026,understat
6326,Ibrahima Konaté,Liverpool,Premier League,2025_2026,understat
6345,Jadon Sancho,Aston Villa,Premier League,2025_2026,understat
6369,Ethan Ampadu,Leeds,Premier League,2025_2026,understat
6377,Joe Rodon,Leeds,Premier League,2025_2026,understat
638,Kyle Walker,Burnley,Premier League,2025_2026,understat
6382,Pedro Neto,Chelsea,Premier League,2025_2026,understat
6456,Callum Hudson-Odoi,Nottingham Forest,Premier League,2025_2026,understat
6482,Eddie Nketiah,Crystal Palace,Premier League,2025_2026,understat
6492,Reiss Nelson,Brentford,Premier League,2025_2026,understat
652,Kieran Trippier,Newcastle United,Premier League,2025_2026,understat
6544,Lukas Nmecha,Leeds,Premier League,2025_2026,understat
6552,Bryan Mbeumo,Manchester United,Premier League,2025_2026,understat
660,Ben Davies,Tottenham,Premier League,2025_2026,understat
6615,Trevoh Chalobah,Chelsea,Premier League,2025_2026,understat
6630,Joe Willock,Newcastle United,Premier League,2025_2026,understat
6665,Curtis Jones,Liverpool,Premier League,2025_2026,understat
6674,Rayan Ait Nouri,Manchester City,Premier League,2025_2026,understat
668,Idrissa Gueye,Everton,Premier League,2025_2026,understat
6681,Harvey Barnes,Newcastle United,Premier League,2025_2026,understat
