understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
637980,29161,5110,Mariano,80,0.8969999694824219,0.5629999923706055,0.08873482048511505,SavedShot,RightFoot,OpenPlay,h,2025
637981,29161,11825,Abderrahmane Rebbach,82,0.9640000152587891,0.685,0.04840591177344322,SavedShot,LeftFoot,OpenPlay,h,2025
637982,29161,10364,Nahuel Tenaglia,91,0.970999984741211,0.5890000152587891,0.4657915532588959,Goal,LeftFoot,SetPiece,h,2025
637961,29161,9275,Iván Romero,1,0.8859999847412109,0.5579999923706055,0.05386113375425339,BlockedShot,Head,FromCorner,a,2025
637962,29161,9275,Iván Romero,14,0.715,0.515,0.01825200952589512,MissedShots,RightFoot,OpenPlay,a,2025
637964,29161,9275,Iván Romero,34,0.8719999694824219,0.34799999237060547,0.06889790296554565,SavedShot,LeftFoot,OpenPlay,a,2025
637970,29161,8183,Pablo Martínez,47,0.7659999847412109,0.6719999694824219,0.020870191976428032,BlockedShot,LeftFoot,OpenPlay,a,2025
637972,29161,8183,Pablo Martínez,50,0.7269999694824218,0.3920000076293945,0.012761583551764488,BlockedShot,RightFoot,OpenPlay,a,2025
637974,29161,13767,Roger Brugué,67,0.875,0.6790000152587891,0.04799390956759453,SavedShot,LeftFoot,OpenPlay,a,2025
637975,29161,257,Jeremy Toljan,67,0.9490000152587891,0.44,0.5455774664878845,Goal,RightFoot,OpenPlay,a,2025
637930,29162,7870,Luis Rioja,6,0.9130000305175782,0.40700000762939453,0.041969239711761475,MissedShots,Head,OpenPlay,h,2025
637933,29162,6637,Hugo Duro,18,0.8719999694824219,0.5359999847412109,0.06536683440208435,MissedShots,LeftFoot,OpenPlay,h,2025
637934,29162,5199,Raba,18,0.75,0.37,0.016107555478811264,BlockedShot,LeftFoot,FromCorner,h,2025
637935,29162,10107,César Tárrega,18,0.8159999847412109,0.514000015258789,0.057286586612463,BlockedShot,RightFoot,FromCorner,h,2025
637936,29162,5199,Raba,18,0.7959999847412109,0.36400001525878906,0.032696764916181564,BlockedShot,LeftFoot,FromCorner,h,2025
637938,29162,5199,Raba,26,0.7480000305175781,0.6,0.019387828186154366,MissedShots,RightFoot,OpenPlay,h,2025
637941,29162,10322,Javier Guerra,55,0.7909999847412109,0.3160000038146973,0.02308361418545246,BlockedShot,RightFoot,OpenPlay,h,2025
637942,29162,9694,Diego López,56,0.8619999694824219,0.5379999923706055,0.29565051198005676,Goal,RightFoot,OpenPlay,h,2025
637945,29162,7870,Luis Rioja,60,0.914000015258789,0.24100000381469727,0.03221479058265686,MissedShots,LeftFoot,OpenPlay,h,2025
637946,29162,9694,Diego López,63,0.9009999847412109,0.47400001525878904,0.1308531016111374,BlockedShot,RightFoot,OpenPlay,h,2025
637947,29162,2551,Pepelu,63,0.79,0.405,0.03806408494710922,BlockedShot,RightFoot,OpenPlay,h,2025
637948,29162,6637,Hugo Duro,63,0.8809999847412109,0.4929999923706055,0.09549067169427872,BlockedShot,LeftFoot,OpenPlay,h,2025
637952,29162,10982,Copete,71,0.960999984741211,0.504000015258789,0.48817509412765503,MissedShots,LeftFoot,FromCorner,h,2025
637954,29162,10982,Copete,75,0.91,0.4490000152587891,0.07558690011501312,MissedShots,Head,FromCorner,h,2025
637955,29162,10322,Javier Guerra,75,0.855999984741211,0.6940000152587891,0.03200265020132065,SavedShot,RightFoot,FromCorner,h,2025
637957,29162,8066,Arnaut Danjuma Groeneveld,86,0.855999984741211,0.6780000305175782,0.04293081909418106,BlockedShot,RightFoot,OpenPlay,h,2025
637958,29162,5654,Baptiste Santamaria,87,0.6959999847412109,0.6609999847412109,0.01136600598692894,MissedShots,RightFoot,OpenPlay,h,2025
637960,29162,7870,Luis Rioja,91,0.98,0.3340000152587891,0.08868179470300674,BlockedShot,LeftFoot,OpenPlay,h,2025
637931,29162,6227,Brais Méndez,11,0.755,0.524000015258789,0.02517709508538246,SavedShot,LeftFoot,OpenPlay,a,2025
637932,29162,9465,Beñat Turrientes,14,0.72,0.5059999847412109,0.014678535051643848,MissedShots,RightFoot,FromCorner,a,2025
637937,29162,7308,Ander Barrenetxea,24,0.8440000152587891,0.585,0.074691541492939,MissedShots,RightFoot,OpenPlay,a,2025
637939,29162,6227,Brais Méndez,34,0.7230000305175781,0.600999984741211,0.017003683373332024,MissedShots,LeftFoot,OpenPlay,a,2025
637940,29162,8001,Takefusa Kubo,49,0.8059999847412109,0.4879999923706055,0.14519362151622772,MissedShots,LeftFoot,DirectFreekick,a,2025
637943,29162,7308,Ander Barrenetxea,58,0.905,0.6630000305175782,0.05664750933647156,MissedShots,RightFoot,OpenPlay,a,2025
637944,29162,8001,Takefusa Kubo,59,0.8119999694824219,0.49599998474121093,0.056229740381240845,Goal,LeftFoot,OpenPlay,a,2025
637949,29162,2234,Mikel Oyarzabal,63,0.7809999847412109,0.5070000076293946,0.029845306649804115,BlockedShot,LeftFoot,OpenPlay,a,2025
637950,29162,9465,Beñat Turrientes,65,0.8130000305175781,0.5120000076293946,0.04421785846352577,BlockedShot,LeftFoot,FromCorner,a,2025
637951,29162,13048,Orri Óskarsson,68,0.894000015258789,0.3240000152587891,0.46319636702537537,MissedShots,RightFoot,OpenPlay,a,2025
637953,29162,7308,Ander Barrenetxea,72,0.86,0.6840000152587891,0.019619513303041458,MissedShots,RightFoot,OpenPlay,a,2025
637956,29162,2234,Mikel Oyarzabal,85,0.8430000305175781,0.6580000305175782,0.04612917825579643,SavedShot,RightFoot,OpenPlay,a,2025
637959,29162,5682,Gonçalo Guedes,89,0.9159999847412109,0.3,0.05633581802248955,BlockedShot,RightFoot,OpenPlay,a,2025
