whoscored_match_id,match_date,season,competition,attendance,data_source
1734677,2023-11-12,2023/24,La Liga,56632,whoscored
1734678,2023-09-16,2023/24,La Liga,45055,whoscored
1734679,2023-11-11,2023/24,La Liga,72475,whoscored
1734680,2023-11-12,2023/24,La Liga,42222,whoscored
1734681,2023-09-16,2023/24,La Liga,18693,whoscored
1734682,2023-11-29,2023/24,La Liga,13821,whoscored
1734683,2023-09-17,2023/24,La Liga,9808,whoscored
1734684,2023-11-11,2023/24,La Liga,18103,whoscored
1734685,2023-09-17,2023/24,La Liga,70092,whoscored
1734686,2023-11-11,2023/24,La Liga,13177,whoscored
1734687,2023-09-17,2023/24,La Liga,18467,whoscored
1734688,2023-11-11,2023/24,La Liga,20125,whoscored
1734689,2023-09-16,2023/24,La Liga,45363,whoscored
1734690,2023-11-12,2023/24,La Liga,38183,whoscored
1734691,2023-09-18,2023/24,La Liga,17323,whoscored
1734692,2023-11-25,2023/24,La Liga,58119,whoscored
1734693,2023-09-17,2023/24,La Liga,40578,whoscored
1734694,2023-11-26,2023/24,La Liga,48132,whoscored
1734695,2023-09-15,2023/24,La Liga,12116,whoscored
1734696,2023-11-26,2023/24,La Liga,20325,whoscored
1734697,2023-09-23,2023/24,La Liga,14266,whoscored
1734698,2023-11-26,2023/24,La Liga,33879,whoscored
1734699,2023-09-24,2023/24,La Liga,69082,whoscored
1734700,2023-11-24,2023/24,La Liga,15705,whoscored
1734701,2023-09-23,2023/24,La Liga,43272,whoscored
1734702,2023-11-25,2023/24,La Liga,10906,whoscored
1734703,2023-09-24,2023/24,La Liga,56087,whoscored
1734704,2023-11-27,2023/24,La Liga,13123,whoscored
1734705,2023-09-23,2023/24,La Liga,11511,whoscored
1734706,2023-11-25,2023/24,La Liga,14148,whoscored
1734707,2023-09-23,2023/24,La Liga,19670,whoscored
1734708,2023-11-25,2023/24,La Liga,43375,whoscored
1734709,2023-09-24,2023/24,La Liga,12865,whoscored
1734710,2023-11-26,2023/24,La Liga,16389,whoscored
1734711,2023-09-22,2023/24,La Liga,19421,whoscored
1734712,2023-12-03,2023/24,La Liga,14253,whoscored
1734713,2023-09-24,2023/24,La Liga,29568,whoscored
1734714,2023-12-02,2023/24,La Liga,44689,whoscored
1734715,2023-09-24,2023/24,La Liga,24848,whoscored
1734716,2023-12-02,2023/24,La Liga,13343,whoscored
1734717,2023-09-27,2023/24,La Liga,43091,whoscored
1734718,2023-12-02,2023/24,La Liga,20859,whoscored
1734719,2023-09-27,2023/24,La Liga,18505,whoscored
1734720,2023-12-03,2023/24,La Liga,33898,whoscored
1734721,2023-12-03,2023/24,La Liga,34568,whoscored
1734722,2023-09-26,2023/24,La Liga,35729,whoscored
