whoscored_player_id,name,whoscored_team_id,position,shirt_no,season,source,competition
456771,Ethan Nwaneri,13,Sub,53,2024/25,whoscored,Champions League
76202,Neto,13,Sub,32,2024/25,whoscored,Champions League
106968,Jorginho,13,Sub,20,2024/25,whoscored,Champions League
489986,Tommy Setford,13,Sub,36,2024/25,whoscored,Champions League
424462,Jakub Kiwior,13,Sub,15,2024/25,whoscored,Champions League
97692,Raheem Sterling,13,Sub,30,2024/25,whoscored,Champions League
467918,Myles Lewis-Skelly,13,Sub,49,2024/25,whoscored,Champions League
467919,Nathan Butler-Oyedeji,13,Sub,37,2024/25,whoscored,Champions League
541016,Josh Robinson,13,Sub,61,2024/25,whoscored,Champions League
388668,Matej Kovár,36,GK,17,2024/25,whoscored,Champions League
299077,Nordi Mukiele,36,DR,23,2024/25,whoscored,Champions League
369446,Edmond Tapsoba,36,DC,12,2024/25,whoscored,Champions League
134946,Jonathan Tah,36,DC,4,2024/25,whoscored,Champions League
404832,Piero Hincapié,36,DL,3,2024/25,whoscored,Champions League
299684,Exequiel Palacios,36,DMC,25,2024/25,whoscored,Champions League
89401,Granit Xhaka,36,DMC,34,2024/25,whoscored,Champions League
392644,Jeremie Frimpong,36,AMR,30,2024/25,whoscored,Champions League
394786,Florian Wirtz,36,AMC,10,2024/25,whoscored,Champions League
107252,Alejandro Grimaldo,36,AML,20,2024/25,whoscored,Champions League
395472,Nathan Tella,36,FW,19,2024/25,whoscored,Champions League
329356,Martin Terrier,36,Sub,11,2024/25,whoscored,Champions League
122140,Robert Andrich,36,Sub,8,2024/25,whoscored,Champions League
280663,Aleix García,36,Sub,24,2024/25,whoscored,Champions League
243565,Patrik Schick,36,Sub,14,2024/25,whoscored,Champions League
64846,Lukás Hrádecky,36,Sub,1,2024/25,whoscored,Champions League
431340,Jeanuël Belocian,36,Sub,44,2024/25,whoscored,Champions League
514447,Francis Onyeka,36,Sub,40,2024/25,whoscored,Champions League
116104,Niklas Lomb,36,Sub,36,2024/25,whoscored,Champions League
538240,Artem Stepanov,36,Sub,29,2024/25,whoscored,Champions League
437724,Arthur,36,Sub,13,2024/25,whoscored,Champions League
494515,Alessandro Calligaris,75,Sub,40,2024/25,whoscored,Champions League
390536,Omri Glazer,579,GK,18,2024/25,whoscored,Champions League
477549,Seol Young-Woo,579,DR,66,2024/25,whoscored,Champions League
127920,Uros Spajic,579,DC,5,2024/25,whoscored,Champions League
361696,Vanja Drkusic,579,DC,33,2024/25,whoscored,Champions League
450392,Nasser Djiga,579,DL,24,2024/25,whoscored,Champions League
294163,Rade Krunic,579,DMC,6,2024/25,whoscored,Champions League
316390,Timi Max Elsnik,579,DMC,21,2024/25,whoscored,Champions League
374989,Silas Katompa Mvumpa,579,AMR,15,2024/25,whoscored,Champions League
502775,Andrija Maksimovic,579,AMC,55,2024/25,whoscored,Champions League
296569,Peter Olayinka,579,AML,14,2024/25,whoscored,Champions League
400021,Cherif Ndiaye,579,FW,9,2024/25,whoscored,Champions League
382261,Bruno Duarte,579,Sub,17,2024/25,whoscored,Champions League
296584,Dálcio,579,Sub,22,2024/25,whoscored,Champions League
84875,Milan Rodic,579,Sub,23,2024/25,whoscored,Champions League
302441,Nemanja Radonjic,579,Sub,49,2024/25,whoscored,Champions League
361898,Luka Ilic,579,Sub,32,2024/25,whoscored,Champions League
395174,Milson,579,Sub,27,2024/25,whoscored,Champions League
127429,Guélor Kanga,579,Sub,8,2024/25,whoscored,Champions League
402097,Egor Prutsev,579,Sub,73,2024/25,whoscored,Champions League
400366,Marko Ilic,579,Sub,1,2024/25,whoscored,Champions League
443623,Stefan Lekovic,579,Sub,25,2024/25,whoscored,Champions League
476781,Ivan Gutesa,579,Sub,77,2024/25,whoscored,Champions League
85047,Aleksandar Katai,579,Sub,10,2024/25,whoscored,Champions League
550871,Giacomo De Pieri,75,Sub,49,2024/25,whoscored,Champions League
303208,Radoslaw Majecki,248,GK,1,2024/25,whoscored,Champions League
408033,Vanderson,248,DR,2,2024/25,whoscored,Champions League
255167,Thilo Kehrer,248,DC,5,2024/25,whoscored,Champions League
362357,Mohammed Salisu,248,DC,22,2024/25,whoscored,Champions League
456749,Christian Mawissa,248,DL,13,2024/25,whoscored,Champions League
447689,Lamine Camara,248,DMC,15,2024/25,whoscored,Champions League
252419,Denis Zakaria,248,DMC,6,2024/25,whoscored,Champions League
426648,Maghnes Akliouche,248,AMR,11,2024/25,whoscored,Champions League
262838,Takumi Minamino,248,AMC,18,2024/25,whoscored,Champions League
244560,Aleksandr Golovin,248,AML,10,2024/25,whoscored,Champions League
143695,Breel Embolo,248,FW,36,2024/25,whoscored,Champions League
320313,Caio Henrique,248,Sub,12,2024/25,whoscored,Champions League
443815,Soungoutou Magassa,248,Sub,88,2024/25,whoscored,Champions League
470043,Lucas Michal,248,Sub,41,2024/25,whoscored,Champions League
444598,Eliesse Ben Seghir,248,Sub,7,2024/25,whoscored,Champions League
361839,Jordan Teze,248,Sub,4,2024/25,whoscored,Champions League
443810,Yann Lienard,248,Sub,50,2024/25,whoscored,Champions League
467072,Kassoum Ouattara,248,Sub,20,2024/25,whoscored,Champions League
482049,Mamadou Coulibaly,248,Sub,28,2024/25,whoscored,Champions League
512152,Saïmon Bouabré,248,Sub,42,2024/25,whoscored,Champions League
335692,Krépin Diatta,248,Sub,27,2024/25,whoscored,Champions League
383689,Philipp Köhn,248,Sub,16,2024/25,whoscored,Champions League
117639,David von Ballmoos,587,GK,26,2024/25,whoscored,Champions League
435099,Lewin Blum,587,DR,27,2024/25,whoscored,Champions League
364200,Sandro Lauper,587,DC,30,2024/25,whoscored,Champions League
242253,Loris Benito,587,DC,23,2024/25,whoscored,Champions League
438657,Jaouen Hadjam,587,DL,3,2024/25,whoscored,Champions League
439451,Lukasz Lakomy,587,DMC,8,2024/25,whoscored,Champions League
379684,Filip Ugrinic,587,DMC,7,2024/25,whoscored,Champions League
438663,Alan Virginius,587,AMR,21,2024/25,whoscored,Champions League
412299,Kastriot Imeri,587,AMC,10,2024/25,whoscored,Champions League
450272,Joël Monteiro,587,AML,77,2024/25,whoscored,Champions League
253786,Silvere Ganvoula,587,FW,35,2024/25,whoscored,Champions League
315228,Meschack Elia,587,Sub,15,2024/25,whoscored,Champions League
388482,Ebrima Colley,587,Sub,11,2024/25,whoscored,Champions League
499996,Zachary Athekame,587,Sub,24,2024/25,whoscored,Champions League
312582,Cedric Itten,587,Sub,9,2024/25,whoscored,Champions League
402178,Darian Males,587,Sub,39,2024/25,whoscored,Champions League
363637,Mohamed Ali Camara,587,Sub,13,2024/25,whoscored,Champions League
367812,Abdu Conté,587,Sub,22,2024/25,whoscored,Champions League
298490,Dario Marzino,587,Sub,40,2024/25,whoscored,Champions League
446507,Marvin Keller,587,Sub,33,2024/25,whoscored,Champions League
380711,Cheikh Niasse,587,Sub,20,2024/25,whoscored,Champions League
533884,Thomas Berenbruch,75,Sub,52,2024/25,whoscored,Champions League
363731,Jaroslav Zeleny,354,Sub,30,2024/25,whoscored,Champions League
531843,Daniel Rus,354,Sub,38,2024/25,whoscored,Champions League
544999,Lukás Penxa,354,Sub,54,2024/25,whoscored,Champions League
545965,Joeri Heerkens,354,Sub,46,2024/25,whoscored,Champions League
550491,Mattia Zanchetta,75,Sub,54,2024/25,whoscored,Champions League
551047,Gabriele Re Cecconi,75,Sub,56,2024/25,whoscored,Champions League
13754,Manuel Neuer,37,GK,1,2024/25,whoscored,Champions League
248010,Konrad Laimer,37,DR,27,2024/25,whoscored,Champions League
327721,Dayot Upamecano,37,DC,2,2024/25,whoscored,Champions League
370912,Kim Min-Jae,37,DC,3,2024/25,whoscored,Champions League
320040,Alphonso Davies,37,DL,19,2024/25,whoscored,Champions League
115519,Leon Goretzka,37,DMC,8,2024/25,whoscored,Champions League
283323,Joshua Kimmich,37,DMC,6,2024/25,whoscored,Champions League
144711,Leroy Sané,37,AMR,10,2024/25,whoscored,Champions League
395252,Jamal Musiala,37,AMC,42,2024/25,whoscored,Champions League
125883,Kingsley Coman,37,AML,11,2024/25,whoscored,Champions League
83532,Harry Kane,37,FW,9,2024/25,whoscored,Champions League
371281,Michael Olise,37,Sub,17,2024/25,whoscored,Champions League
119501,Serge Gnabry,37,Sub,7,2024/25,whoscored,Champions League
37099,Thomas Müller,37,Sub,25,2024/25,whoscored,Champions League
372280,Sacha Boey,37,Sub,23,2024/25,whoscored,Champions League
422885,Mathys Tel,37,Sub,39,2024/25,whoscored,Champions League
430704,Arijon Ibrahimovic,37,Sub,20,2024/25,whoscored,Champions League
503206,Max Schmitt,37,Sub,35,2024/25,whoscored,Champions League
404258,Daniel Peretz,37,Sub,18,2024/25,whoscored,Champions League
115375,Raphaël Guerreiro,37,Sub,22,2024/25,whoscored,Champions League
117973,Eric Dier,37,Sub,15,2024/25,whoscored,Champions League
333542,Randal Kolo Muani,304,Sub,23,2024/25,whoscored,Champions League
302918,Milan Skriniar,304,Sub,37,2024/25,whoscored,Champions League
367164,Iñaki Peña,65,GK,13,2024/25,whoscored,Champions League
301019,Jules Koundé,65,DR,23,2024/25,whoscored,Champions League
498386,Pau Cubarsí,65,DC,2,2024/25,whoscored,Champions League
106885,Iñigo Martínez,65,DC,5,2024/25,whoscored,Champions League
422938,Alejandro Balde,65,DL,3,2024/25,whoscored,Champions League
402197,Pedri,65,DMC,8,2024/25,whoscored,Champions League
454343,Marc Casadó,65,DMC,17,2024/25,whoscored,Champions League
480249,Lamine Yamal,65,AMR,19,2024/25,whoscored,Champions League
463838,Fermín López,65,AMC,16,2024/25,whoscored,Champions League
300447,Raphinha,65,AML,11,2024/25,whoscored,Champions League
29400,Robert Lewandowski,65,FW,9,2024/25,whoscored,Champions League
279423,Frenkie de Jong,65,Sub,21,2024/25,whoscored,Champions League
261212,Dani Olmo,65,Sub,20,2024/25,whoscored,Champions League
382234,Ansu Fati,65,Sub,10,2024/25,whoscored,Champions League
422937,Gavi,65,Sub,6,2024/25,whoscored,Champions League
444243,Pau Víctor,65,Sub,18,2024/25,whoscored,Champions League
73379,Wojciech Szczesny,65,Sub,25,2024/25,whoscored,Champions League
512879,Gerard Martín,65,Sub,35,2024/25,whoscored,Champions League
534792,Sergi Domínguez,65,Sub,36,2024/25,whoscored,Champions League
445092,Pablo Torre,65,Sub,14,2024/25,whoscored,Champions League
483206,Héctor Fort,65,Sub,32,2024/25,whoscored,Champions League
497922,Diego Kochen,65,Sub,31,2024/25,whoscored,Champions League
322774,João Palhinha,37,DMC,16,2024/25,whoscored,Champions League
35506,Sven Ulreich,37,Sub,26,2024/25,whoscored,Champions League
513607,Adam Aznou,37,Sub,49,2024/25,whoscored,Champions League
369877,Anatoliy Trubin,299,GK,1,2024/25,whoscored,Champions League
399955,Issa Kaboré,299,DR,28,2024/25,whoscored,Champions League
75691,Nicolás Otamendi,299,DC,30,2024/25,whoscored,Champions League
443613,António Silva,299,DC,4,2024/25,whoscored,Champions League
426502,Tomás Araújo,299,DC,44,2024/25,whoscored,Champions League
437583,Álvaro Carreras,299,DL,3,2024/25,whoscored,Champions League
303544,Fredrik Aursnes,299,MC,8,2024/25,whoscored,Champions League
