whoscored_match_id,whoscored_event_id,whoscored_player_id,whoscored_team_id,player_name,event_type,period,minute,second,x,y,end_x,end_y,outcome,season,data_source,source
1901061,2839336063.0,423449.0,777,,Clearance,FirstHalf,2,24.0,0.034,0.547,0.0,0.886,Successful,2025/26,whoscored,whoscored
1901061,2839336091.0,423449.0,777,,CornerAwarded,FirstHalf,2,25.0,0.034,0.535,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839336077.0,386390.0,300,,CornerAwarded,FirstHalf,2,25.0,0.966,0.465,,,Successful,2025/26,whoscored,whoscored
1901061,2839336687.0,349184.0,300,,Pass,FirstHalf,2,54.0,0.995,0.005,0.943,0.471,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839336753.0,423449.0,777,,Clearance,FirstHalf,2,58.0,0.09,0.528,0.14,0.463,Successful,2025/26,whoscored,whoscored
1901061,2839336729.0,85070.0,300,,MissedShots,FirstHalf,2,58.0,0.813,0.532,,,Successful,2025/26,whoscored,whoscored
1901061,2839336773.0,386390.0,300,,MissedShots,FirstHalf,2,59.0,0.85,0.466,,,Successful,2025/26,whoscored,whoscored
1901061,2839337213.0,423449.0,777,,Pass,FirstHalf,3,19.0,0.047,0.601,0.031,0.517,Successful,2025/26,whoscored,whoscored
1901061,2839337297.0,326640.0,777,,Pass,FirstHalf,3,22.0,0.074,0.515,0.474,0.552,Successful,2025/26,whoscored,whoscored
1901061,2839337331.0,495906.0,777,,Pass,FirstHalf,3,25.0,0.474,0.552,0.539,0.474,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839337377.0,100962.0,300,,Clearance,FirstHalf,3,27.0,0.454,0.512,0.532,0.571,Successful,2025/26,whoscored,whoscored
1901061,2839337441.0,129903.0,300,,Pass,FirstHalf,3,29.0,0.511,0.567,0.36,0.35,Successful,2025/26,whoscored,whoscored
1901061,2839337481.0,405133.0,300,,Pass,FirstHalf,3,30.0,0.357,0.345,0.425,0.248,Successful,2025/26,whoscored,whoscored
1901061,2839337503.0,349184.0,300,,Pass,FirstHalf,3,32.0,0.422,0.248,0.493,0.274,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839337587.0,423449.0,777,,Pass,FirstHalf,3,34.0,0.526,0.775,0.741,1.0,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839337579.0,405133.0,300,,ShieldBallOpp,FirstHalf,3,38.0,0.288,0.048,,,Successful,2025/26,whoscored,whoscored
1901061,2839337685.0,405133.0,300,,Pass,FirstHalf,3,41.0,0.286,0.0,0.302,0.104,Successful,2025/26,whoscored,whoscored
1901061,2839337821.0,85070.0,300,,Pass,FirstHalf,3,42.0,0.3,0.104,0.229,0.047,Successful,2025/26,whoscored,whoscored
1901061,2839337833.0,405133.0,300,,Pass,FirstHalf,3,48.0,0.23,0.021,0.248,0.016,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839337817.0,357956.0,777,,BlockedPass,FirstHalf,3,48.0,0.739,0.987,,,Successful,2025/26,whoscored,whoscored
1901061,2839338301.0,349184.0,300,,Pass,FirstHalf,4,7.0,0.351,0.0,0.262,0.415,Successful,2025/26,whoscored,whoscored
1901061,2839338385.0,129903.0,300,,Pass,FirstHalf,4,11.0,0.267,0.447,0.31,0.777,Successful,2025/26,whoscored,whoscored
1901061,2839338413.0,100962.0,300,,Pass,FirstHalf,4,15.0,0.311,0.782,0.389,0.9,Successful,2025/26,whoscored,whoscored
1901061,2839338477.0,403913.0,300,,Pass,FirstHalf,4,16.0,0.386,0.89,0.297,0.702,Successful,2025/26,whoscored,whoscored
1901061,2839338555.0,129903.0,300,,Pass,FirstHalf,4,19.0,0.286,0.635,0.362,0.112,Successful,2025/26,whoscored,whoscored
1901061,2839338595.0,405133.0,300,,Pass,FirstHalf,4,22.0,0.36,0.094,0.43,0.142,Successful,2025/26,whoscored,whoscored
1901061,2839338681.0,386390.0,300,,Pass,FirstHalf,4,24.0,0.436,0.148,0.544,0.223,Successful,2025/26,whoscored,whoscored
1901061,2839338685.0,302650.0,300,,Dispossessed,FirstHalf,4,28.0,0.562,0.204,,,Successful,2025/26,whoscored,whoscored
1901061,2839338705.0,83719.0,777,,Tackle,FirstHalf,4,28.0,0.438,0.796,,,Successful,2025/26,whoscored,whoscored
1901061,2839338713.0,357956.0,777,,BallTouch,FirstHalf,4,28.0,0.443,0.84,,,Successful,2025/26,whoscored,whoscored
1901061,2839342557.0,83719.0,777,,BallTouch,FirstHalf,4,29.0,0.361,0.808,,,Successful,2025/26,whoscored,whoscored
1901061,2839338721.0,357956.0,777,,BallTouch,FirstHalf,4,30.0,0.426,0.834,,,Successful,2025/26,whoscored,whoscored
