whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1901303,Giuseppe Sinigaglia,Cesc Fàbregas,Massimiliano Allegri,1 : 1,1 : 3,11960.0,339,Marco Guida,2026-01-15T20:45:00
1901304,Artemio Franchi,Paolo Vanoli,Kosta Runjaic,3 : 0,5 : 1,18405.0,331,Maurizio Mariani,2025-12-21T18:00:00
1901305,Luigi Ferraris,Daniele De Rossi,Raffaele Palladino,0 : 0,0 : 1,30460.0,383,Rosario Abisso,2025-12-21T20:45:00
1901306,Stadio Giuseppe Meazza,Cristian Chivu,Eusebio Di Francesco,0 : 0,1 : 0,69321.0,388,Fabio Maresca,2026-01-14T20:45:00
1901307,Allianz Stadium,Luciano Spalletti,Gian Piero Gasperini,1 : 0,2 : 1,41602.0,3777,Simone Sozza,2025-12-20T20:45:00
1901308,Stadio Olimpico,Maurizio Sarri,Davide Nicola,0 : 0,0 : 0,37000.0,386,Luca Pairetto,2025-12-20T18:00:00
1901309,Diego Armando Maradona,Antonio Conte,Carlos Cuesta,0 : 0,0 : 0,40000.0,356,Michael Fabbri,2026-01-14T18:30:00
1901310,MAPEI Stadium - Città del Tricolore,Fabio Grosso,Marco Baroni,0 : 0,0 : 1,12371.0,7200,Andrea Calzavara,2025-12-21T15:00:00
1901311,Stadio Marcantonio Bentegodi,Paolo Zanetti,Vincenzo Italiano,1 : 3,2 : 3,17585.0,331,Maurizio Mariani,2026-01-15T18:30:00
1901312,Renato Dall'Ara,Vincenzo Italiano,Fabio Grosso,0 : 0,1 : 1,27832.0,1901,Juan Luca Sacchi,2025-12-28T18:00:00
1901313,Giovanni Zini,Davide Nicola,Antonio Conte,0 : 2,0 : 2,14236.0,331,Maurizio Mariani,2025-12-28T15:00:00
1901314,Stadio Ettore Giardiniero - Via del Mare,Eusebio Di Francesco,Cesc Fàbregas,0 : 1,0 : 3,28277.0,4416,Matteo Marchetti,2025-12-27T15:00:00
1901315,Stadio Giuseppe Meazza,Massimiliano Allegri,Paolo Zanetti,1 : 0,3 : 0,74618.0,356,Michael Fabbri,2025-12-28T12:30:00
1901316,Ennio Tardini,Carlos Cuesta,Paolo Vanoli,0 : 0,1 : 0,20658.0,339,Marco Guida,2025-12-27T12:30:00
1901317,Arena Garibaldi Romeo Anconetani,Alberto Gilardino,Luciano Spalletti,0 : 0,0 : 2,12640.0,388,Fabio Maresca,2025-12-27T20:45:00
1901318,Stadio Olimpico,Gian Piero Gasperini,Daniele De Rossi,3 : 0,3 : 1,67785.0,367,Marco Di Bello,2025-12-29T20:45:00
1901319,Olimpico Grande Torino,Marco Baroni,Fabio Pisacane,1 : 1,1 : 2,23218.0,360,Daniele Doveri,2025-12-27T15:00:00
1901320,Bluenergy Stadium,Kosta Runjaic,Maurizio Sarri,0 : 0,1 : 1,24460.0,4913,Andrea Colombo,2025-12-27T18:00:00
1901321,New Balance Arena,Raffaele Palladino,Cristian Chivu,0 : 0,0 : 1,23243.0,400,Federico La Penna,2025-12-28T20:45:00
1901322,New Balance Arena,Raffaele Palladino,Gian Piero Gasperini,1 : 0,1 : 0,23088.0,356,Michael Fabbri,2026-01-03T20:45:00
1901323,Unipol Domus,Fabio Pisacane,Massimiliano Allegri,0 : 0,0 : 1,16412.0,383,Rosario Abisso,2026-01-02T20:45:00
1901324,Giuseppe Sinigaglia,Cesc Fàbregas,Kosta Runjaic,1 : 0,1 : 0,11914.0,6805,Alberto Arena,2026-01-03T12:30:00
1901325,Artemio Franchi,Paolo Vanoli,Davide Nicola,0 : 0,1 : 0,19827.0,400,Federico La Penna,2026-01-04T15:00:00
1901326,Luigi Ferraris,Daniele De Rossi,Alberto Gilardino,1 : 1,1 : 1,31661.0,398,Daniele Chiffi,2026-01-03T15:00:00
1901327,Stadio Giuseppe Meazza,Cristian Chivu,Vincenzo Italiano,1 : 0,3 : 1,74710.0,339,Marco Guida,2026-01-04T20:45:00
1901328,Allianz Stadium,Luciano Spalletti,Eusebio Di Francesco,0 : 1,1 : 1,40639.0,5888,Giuseppe Collu,2026-01-03T18:00:00
1901329,Stadio Olimpico,Maurizio Sarri,Antonio Conte,0 : 2,0 : 2,45000.0,366,Davide Massa,2026-01-04T12:30:00
1901330,MAPEI Stadium - Città del Tricolore,Fabio Grosso,Carlos Cuesta,1 : 1,1 : 1,12701.0,5388,Ermanno Feliciani,2026-01-03T15:00:00
1901331,Stadio Marcantonio Bentegodi,Paolo Zanetti,Marco Baroni,0 : 1,0 : 3,21860.0,2811,Antonio Rapuano,2026-01-04T18:00:00
1901332,Renato Dall'Ara,Vincenzo Italiano,Raffaele Palladino,0 : 1,0 : 2,23454.0,367,Marco Di Bello,2026-01-07T18:30:00
1901333,Giovanni Zini,Davide Nicola,Fabio Pisacane,2 : 0,2 : 2,9886.0,5893,Kevin Bonacina,2026-01-08T18:30:00
1901334,Stadio Olimpico,Maurizio Sarri,Paolo Vanoli,0 : 0,2 : 2,35000.0,3777,Simone Sozza,2026-01-07T20:45:00
1901335,Stadio Ettore Giardiniero - Via del Mare,Eusebio Di Francesco,Gian Piero Gasperini,0 : 1,0 : 2,24715.0,1901,Juan Luca Sacchi,2026-01-06T18:00:00
1901336,Stadio Giuseppe Meazza,Massimiliano Allegri,Daniele De Rossi,0 : 1,1 : 1,69397.0,331,Maurizio Mariani,2026-01-08T20:45:00
1901337,Diego Armando Maradona,Antonio Conte,Paolo Zanetti,0 : 2,2 : 2,35000.0,4416,Matteo Marchetti,2026-01-07T18:30:00
